 #File made by Rachid Nouicer 
 #PHOBOS experiment : AuAu at 200 GeV 
 #----------------------------------- 
 #Centrality bin (%) :  6 to 15 % 
 #Npart:                274 +/- 9
 #
 #dN/dEta vs. Eta 
 #
 #  x         ex          y        +ey        -ey   
 #-------------------------------------------------------  
-5.300000  0.000000  64.171410  16.291641  -15.252045 
-5.100000  0.000000  78.231522  20.575783  -15.781582 
-4.900000  0.000000  99.883888  20.496780  -20.845123 
-4.700000  0.000000  124.635231  20.685600  -25.642876 
-4.500000  0.000000  146.528351  27.059052  -24.079826 
-4.300000  0.000000  179.477615  25.434021  -30.188858 
-4.100000  0.000000  211.733231  27.034332  -32.664642 
-3.900000  0.000000  236.803802  37.576141  -25.806396 
-3.700000  0.000000  271.680389  39.097198  -27.687531 
-3.500000  0.000000  305.841095  41.045807  -29.030090 
-3.300000  0.000000  333.071838  48.575500  -24.849213 
-3.100000  0.000000  374.586609  39.536469  -37.401764 
-2.900000  0.000000  401.615356  41.970001  -38.657043 
-2.700000  0.000000  423.846863  45.704163  -38.700165 
-2.500000  0.000000  446.057343  45.720703  -42.392426 
-2.300000  0.000000  465.166260  45.061493  -46.502533 
-2.100000  0.000000  474.509705  50.501648  -44.068024 
-1.900000  0.000000  491.803741  44.531647  -52.436493 
-1.700000  0.000000  499.619690  44.838135  -53.796906 
-1.500000  0.000000  507.071655  42.591553  -56.898621 
-1.300000  0.000000  504.871277  47.390137  -52.114563 
-1.100000  0.000000  502.994507  49.618042  -49.097168 
-0.900000  0.000000  500.652710  50.524597  -46.723663 
-0.700000  0.000000  498.355499  50.222992  -45.127869 
-0.500000  0.000000  496.568115  49.069336  -44.338318 
-0.300000  0.000000  492.063202  51.262726  -40.649078 
-0.100000  0.000000  499.160248  43.423798  -47.934692 
0.100000  0.000000  497.454712  45.129333  -46.229156 
0.300000  0.000000  499.116699  44.209229  -47.702576 
0.500000  0.000000  492.756836  52.880615  -40.527039 
0.700000  0.000000  498.455383  50.123108  -45.227722 
0.900000  0.000000  502.547943  48.629364  -48.618896 
1.100000  0.000000  499.293762  53.318787  -45.396423 
1.300000  0.000000  501.843536  50.417877  -49.086823 
1.500000  0.000000  504.434967  45.228241  -54.261932 
1.700000  0.000000  499.210510  45.247253  -53.387726 
1.900000  0.000000  491.004517  45.330811  -51.637299 
2.100000  0.000000  477.163971  47.847382  -46.722321 
2.300000  0.000000  466.767700  43.460022  -48.104004 
2.500000  0.000000  447.374115  44.403900  -43.709198 
2.700000  0.000000  425.369232  44.181793  -40.222534 
2.900000  0.000000  404.320404  39.264923  -41.362122 
3.100000  0.000000  385.026581  29.096466  -47.841797 
3.300000  0.000000  347.513062  34.134216  -39.290466 
3.500000  0.000000  317.151642  29.735199  -40.340668 
3.700000  0.000000  279.508179  31.269409  -35.515320 
3.900000  0.000000  242.276840  32.103043  -31.279465 
4.100000  0.000000  211.130142  27.637344  -32.061615 
4.300000  0.000000  181.262589  23.649048  -31.973831 
4.500000  0.000000  148.316315  25.271088  -25.867790 
4.700000  0.000000  123.011368  22.309402  -24.019066 
4.900000  0.000000  101.039101  19.341568  -22.000336 
5.100000  0.000000  81.561211  17.246048  -19.111305 
5.300000  0.000000  65.085655  15.377396  -16.166290 
