    #   e/T^4            T/Tc         T (MeV)           s/T^3           p/T^4            cs^2
    0.014900        0.700000      189.000000        0.016400        0.001500        0.098381
    0.015250        0.701852      189.500010        0.016784        0.001534        0.098340
    0.015602        0.703704      190.000020        0.017171        0.001568        0.098306
    0.015957        0.705556      190.500030        0.017560        0.001603        0.098278
    0.016315        0.707408      191.000040        0.017952        0.001638        0.098256
    0.016675        0.709259      191.500050        0.018347        0.001673        0.098241
    0.017038        0.711111      192.000060        0.018745        0.001708        0.098232
    0.017403        0.712963      192.500070        0.019147        0.001743        0.098229
    0.017772        0.714815      193.000080        0.019551        0.001779        0.098232
    0.018143        0.716667      193.500090        0.019958        0.001815        0.098240
    0.018517        0.718519      194.000100        0.020369        0.001852        0.098254
    0.018895        0.720371      194.500110        0.020783        0.001889        0.098273
    0.019275        0.722223      195.000120        0.021201        0.001926        0.098297
    0.019659        0.724075      195.500130        0.021622        0.001963        0.098327
    0.020046        0.725926      196.000140        0.022047        0.002001        0.098361
    0.020436        0.727778      196.500150        0.022475        0.002039        0.098401
    0.020830        0.729630      197.000160        0.022907        0.002077        0.098445
    0.021227        0.731482      197.500170        0.023343        0.002116        0.098493
    0.021627        0.733334      198.000180        0.023783        0.002155        0.098546
    0.022032        0.735186      198.500190        0.024227        0.002195        0.098604
    0.022440        0.737038      199.000200        0.024675        0.002235        0.098665
    0.022851        0.738890      199.500210        0.025127        0.002276        0.098731
    0.023267        0.740742      200.000220        0.025583        0.002316        0.098801
    0.023686        0.742593      200.500230        0.026044        0.002358        0.098874
    0.024110        0.744445      201.000240        0.026509        0.002399        0.098951
    0.024537        0.746297      201.500250        0.026979        0.002442        0.099032
    0.024968        0.748149      202.000260        0.027453        0.002484        0.099116
    0.025404        0.750001      202.500270        0.027932        0.002527        0.099204
    0.025844        0.751853      203.000280        0.028415        0.002571        0.099294
    0.026288        0.753705      203.500290        0.028903        0.002615        0.099388
    0.026737        0.755557      204.000300        0.029396        0.002660        0.099485
    0.027190        0.757409      204.500310        0.029895        0.002705        0.099585
    0.027647        0.759260      205.000320        0.030398        0.002750        0.099688
    0.028109        0.761112      205.500330        0.030906        0.002797        0.099794
    0.028576        0.762964      206.000340        0.031419        0.002843        0.099902
    0.029048        0.764816      206.500350        0.031938        0.002890        0.100012
    0.029524        0.766668      207.000360        0.032462        0.002938        0.100125
    0.030005        0.768520      207.500370        0.032992        0.002987        0.100240
    0.030491        0.770372      208.000380        0.033527        0.003036        0.100358
    0.030982        0.772224      208.500390        0.034067        0.003085        0.100478
    0.031478        0.774076      209.000400        0.034613        0.003135        0.100599
    0.031979        0.775927      209.500410        0.035165        0.003186        0.100723
    0.032486        0.777779      210.000420        0.035723        0.003238        0.100849
    0.032997        0.779631      210.500430        0.036287        0.003290        0.100976
    0.033507        0.781483      211.000440        0.036849        0.003342        0.101304
    0.034020        0.783335      211.500450        0.037415        0.003394        0.101433
    0.034539        0.785187      212.000460        0.037987        0.003447        0.101560
    0.035064        0.787039      212.500470        0.038566        0.003501        0.101686
    0.035595        0.788891      213.000480        0.039151        0.003556        0.101811
    0.036133        0.790743      213.500490        0.039744        0.003611        0.101935
    0.036676        0.792594      214.000500        0.040344        0.003668        0.102058
    0.037227        0.794446      214.500510        0.040951        0.003724        0.102179
    0.037784        0.796298      215.000520        0.041566        0.003782        0.102299
    0.038348        0.798150      215.500530        0.042189        0.003841        0.102418
    0.038919        0.800002      216.000540        0.042819        0.003900        0.102535
    0.039498        0.801854      216.500550        0.043458        0.003960        0.102650
    0.040085        0.803706      217.000560        0.044106        0.004021        0.102764
    0.040679        0.805558      217.500570        0.044762        0.004083        0.102877
    0.041281        0.807410      218.000580        0.045427        0.004146        0.102988
    0.041891        0.809261      218.500590        0.046101        0.004210        0.103097
    0.042510        0.811113      219.000600        0.046785        0.004275        0.103205
    0.043137        0.812965      219.500610        0.047478        0.004341        0.103311
    0.043773        0.814817      220.000620        0.048180        0.004408        0.103416
    0.044417        0.816669      220.500630        0.048893        0.004475        0.103519
    0.045071        0.818521      221.000640        0.049615        0.004544        0.103620
    0.045735        0.820373      221.500650        0.050349        0.004614        0.105000
    0.046409        0.822225      222.000660        0.051096        0.004687        0.105080
    0.047092        0.824077      222.500670        0.051853        0.004761        0.105143
    0.047786        0.825928      223.000680        0.052621        0.004835        0.105189
    0.048489        0.827780      223.500690        0.053400        0.004911        0.105218
    0.049203        0.829632      224.000700        0.054191        0.004988        0.105231
    0.049927        0.831484      224.500710        0.054993        0.005066        0.105229
    0.050662        0.833336      225.000720        0.055806        0.005145        0.105211
    0.051407        0.835188      225.500730        0.056631        0.005225        0.105178
    0.052163        0.837040      226.000740        0.057468        0.005306        0.105132
    0.052929        0.838892      226.500750        0.058317        0.005388        0.105071
    0.053707        0.840744      227.000760        0.059179        0.005471        0.104998
    0.054497        0.842595      227.500770        0.060052        0.005555        0.104911
    0.055298        0.844447      228.000780        0.060938        0.005641        0.104813
    0.056110        0.846299      228.500790        0.061837        0.005727        0.104702
    0.056935        0.848151      229.000800        0.062749        0.005815        0.104580
    0.057771        0.850003      229.500810        0.063674        0.005903        0.104447
    0.058619        0.851855      230.000820        0.064612        0.005993        0.104303
    0.059480        0.853707      230.500830        0.065564        0.006084        0.104149
    0.060354        0.855559      231.000840        0.066529        0.006175        0.103985
    0.061240        0.857411      231.500850        0.067508        0.006268        0.103812
    0.062138        0.859262      232.000860        0.068501        0.006362        0.103630
    0.063027        0.861114      232.500870        0.069483        0.006456        0.104620
    0.063914        0.862966      233.000880        0.070464        0.006550        0.104393
    0.064815        0.864818      233.500890        0.071459        0.006645        0.104142
    0.065730        0.866670      234.000900        0.072471        0.006741        0.103870
    0.066662        0.868522      234.500910        0.073500        0.006838        0.103577
    0.067609        0.870374      235.000920        0.074545        0.006936        0.103265
    0.068573        0.872226      235.500930        0.075609        0.007036        0.102934
    0.069555        0.874078      236.000940        0.076692        0.007137        0.102587
    0.070554        0.875929      236.500950        0.077794        0.007239        0.102223
    0.071573        0.877781      237.000960        0.078916        0.007343        0.101845
    0.072611        0.879633      237.500970        0.080059        0.007448        0.101453
    0.073669        0.881485      238.000980        0.081223        0.007554        0.101048
    0.074748        0.883337      238.500990        0.082410        0.007662        0.100631
    0.075848        0.885189      239.001000        0.083619        0.007771        0.100204
    0.076971        0.887041      239.501010        0.084852        0.007882        0.099767
    0.078116        0.888893      240.001020        0.086110        0.007994        0.099322
    0.079284        0.890745      240.501030        0.087392        0.008108        0.098868
    0.080477        0.892596      241.001040        0.088700        0.008223        0.098407
    0.081695        0.894448      241.501050        0.090035        0.008340        0.097941
    0.082938        0.896300      242.001060        0.091396        0.008458        0.097468
    0.084207        0.898152      242.501070        0.092785        0.008578        0.096992
    0.085503        0.900004      243.001080        0.094203        0.008700        0.101142
    0.086703        0.901856      243.501090        0.095524        0.008821        0.100546
    0.087934        0.903708      244.001100        0.096877        0.008943        0.099889
    0.089197        0.905560      244.501110        0.098264        0.009067        0.099176
    0.090493        0.907412      245.001120        0.099686        0.009193        0.098414
    0.091826        0.909263      245.501130        0.101148        0.009321        0.097606
    0.093198        0.911115      246.001140        0.102649        0.009451        0.096758
    0.094611        0.912967      246.501150        0.104194        0.009583        0.095875
    0.096067        0.914819      247.001160        0.105784        0.009718        0.094963
    0.097568        0.916671      247.501170        0.107422        0.009855        0.094026
    0.099117        0.918523      248.001180        0.109110        0.009994        0.093068
    0.100715        0.920375      248.501190        0.110850        0.010135        0.092094
    0.102366        0.922227      249.001200        0.112645        0.010279        0.091107
    0.104071        0.924079      249.501210        0.114497        0.010425        0.090110
    0.105833        0.925930      250.001220        0.116407        0.010575        0.089109
    0.107653        0.927782      250.501230        0.118380        0.010726        0.088104
    0.109535        0.929634      251.001240        0.120416        0.010881        0.087100
    0.111480        0.931486      251.501250        0.122518        0.011038        0.086098
    0.113490        0.933338      252.001260        0.124689        0.011198        0.085101
    0.115569        0.935190      252.501270        0.126931        0.011362        0.084111
    0.117717        0.937042      253.001280        0.129245        0.011528        0.083129
    0.119938        0.938894      253.501290        0.131635        0.011697        0.082158
    0.121951        0.940746      254.001300        0.133794        0.011843        0.077233
    0.123627        0.942597      254.501310        0.135579        0.011952        0.076198
    0.125394        0.944449      255.001320        0.137459        0.012065        0.075260
    0.127264        0.946301      255.501330        0.139449        0.012184        0.074419
    0.129249        0.948153      256.001340        0.141558        0.012310        0.073675
    0.131358        0.950005      256.501350        0.143801        0.012443        0.073023
    0.133605        0.951857      257.001360        0.146188        0.012583        0.072460
    0.135999        0.953709      257.501370        0.148733        0.012734        0.071980
    0.138553        0.955561      258.001380        0.151446        0.012894        0.071575
    0.141276        0.957413      258.501390        0.154342        0.013065        0.071241
    0.144182        0.959264      259.001400        0.157431        0.013249        0.070969
    0.147280        0.961116      259.501410        0.160725        0.013445        0.070754
