#: table_doi: 10.17182/hepdata.73940.v1/t1
#: name: Table 1
#: description: No description provided.
#: data_file: Table1.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2 | V3 | V4
#: keyword phrases: Inclusive | Azimuthal Angular Correlation
#: keyword cmenergies: 2760.0
#: PT [GeV],0.0-100.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],0.0-5.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'$\eta$','v$_{2}\{2\}$','stat +','stat -','sys +','sys -'
-3.25,0.0143418,8.05673e-05,-8.05673e-05,0.00143418,-0.00143418
-2.75,0.0165365,9.56486e-05,-9.56486e-05,0.00165365,-0.00165365
-2.25,0.017691,6.36509e-05,-6.36509e-05,0.0017691,-0.0017691
-1.75,0.0197282,7.71406e-05,-7.71406e-05,0.00197282,-0.00197282
-1.25,0.0213699,8.82858e-05,-8.82858e-05,0.00192329,-0.00192329
-0.75,0.0235052,0.000235736,-0.000235736,0.00211546,-0.00211546
-0.25,0.0251271,0.000385712,-0.000385712,0.00226144,-0.00226144
0.25,0.0253453,0.000385457,-0.000385457,0.00228107,-0.00228107
0.75,0.0230905,0.000200666,-0.000200666,0.00207814,-0.00207814
1.25,0.0212888,0.000140835,-0.000140835,0.001916,-0.001916
1.75,0.0200281,7.62212e-05,-7.62212e-05,0.00200281,-0.00200281
2.25,0.0183789,7.84974e-05,-7.84974e-05,0.00183789,-0.00183789
2.75,0.0171116,7.30864e-05,-7.30864e-05,0.00171116,-0.00171116
3.25,0.0161285,6.4846e-05,-6.4846e-05,0.00161285,-0.00161285
3.75,0.0144966,6.38249e-05,-6.38249e-05,0.00144966,-0.00144966
4.25,0.0132482,9.96553e-05,-9.96553e-05,0.00132482,-0.00132482
4.75,0.0120569,9.29589e-05,-9.29589e-05,0.00120569,-0.00120569

#: PT [GeV],0.0-100.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],0.0-5.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'$\eta$','v$_{2}\{4\}$','stat +','stat -','sys +','sys -'
-3.25,0.00633209,0.000649628,-0.000649628,0.000506567,-0.000506567
-2.75,0.0073912,0.000726573,-0.000726573,0.000591296,-0.000591296
-2.25,0.00860294,0.000910446,-0.000910446,0.000688236,-0.000688236
-1.75,0.0102509,0.0015691,-0.0015691,0.000820068,-0.000820068
-1.25,0.0122088,0.00124553,-0.00124553,0.000854616,-0.000854616
-0.75,0.0095459,0.000739087,-0.000739087,0.000668213,-0.000668213
-0.25,0.0114525,0.00178217,-0.00178217,0.000801677,-0.000801677
0.25,0.0131944,0.00195327,-0.00195327,0.000923608,-0.000923608
0.75,0.0110251,0.00172821,-0.00172821,0.000771754,-0.000771754
1.25,0.0111995,0.00149697,-0.00149697,0.000783966,-0.000783966
1.75,0.010635,0.000977437,-0.000977437,0.0008508,-0.0008508
2.25,0.00859259,0.00112484,-0.00112484,0.000687407,-0.000687407
2.75,0.00799735,0.000944976,-0.000944976,0.000639788,-0.000639788
3.25,0.00880345,0.00117445,-0.00117445,0.000704276,-0.000704276
3.75,0.00704644,0.000856526,-0.000856526,0.000563715,-0.000563715
4.25,0.00586613,0.000665144,-0.000665144,0.00046929,-0.00046929
4.75,0.00438267,0.00059557,-0.00059557,0.000350614,-0.000350614

#: PT [GeV],0.0-100.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],0.0-5.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'$\eta$','v$_{3}\{2\}$','stat +','stat -','sys +','sys -'
-3.25,0.0107338,0.00026535,-0.00026535,0.00139539,-0.00139539
-2.75,0.0121853,0.00011057,-0.00011057,0.00158408,-0.00158408
-2.25,0.0134932,9.01627e-05,-9.01627e-05,0.00175412,-0.00175412
-1.75,0.0148648,9.97152e-05,-9.97152e-05,0.00193243,-0.00193243
-1.25,0.0161925,0.000185782,-0.000185782,0.0019431,-0.0019431
-0.75,0.017049,0.000234742,-0.000234742,0.00204588,-0.00204588
-0.25,0.0171846,0.000275612,-0.000275612,0.00206215,-0.00206215
0.25,0.0164238,0.000220323,-0.000220323,0.00197085,-0.00197085
0.75,0.0166788,0.000212969,-0.000212969,0.00200145,-0.00200145
1.25,0.0157761,0.00016311,-0.00016311,0.00189313,-0.00189313
1.75,0.0149084,0.000115896,-0.000115896,0.00193809,-0.00193809
2.25,0.0140111,7.62065e-05,-7.62065e-05,0.00182144,-0.00182144
2.75,0.0127692,8.10977e-05,-8.10977e-05,0.00166,-0.00166
3.25,0.0117475,0.000108696,-0.000108696,0.00152717,-0.00152717
3.75,0.0103356,0.000153984,-0.000153984,0.00134363,-0.00134363
4.25,0.00893525,0.00012295,-0.00012295,0.00116158,-0.00116158
4.75,0.00784154,0.000203923,-0.000203923,0.0010194,-0.0010194

#: PT [GeV],0.0-100.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],0.0-5.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'$\eta$','v$_{4}\{2\}$','stat +','stat -','sys +','sys -'
-3.25,0.00525165,0.00024126,-0.00024126,0.000735231,-0.000735231
-2.75,0.00633113,0.000183235,-0.000183235,0.000886358,-0.000886358
-2.25,0.0072204,0.000242419,-0.000242419,0.00101086,-0.00101086
-1.75,0.00811476,0.000264888,-0.000264888,0.00113607,-0.00113607
-1.25,0.00782604,0.000349608,-0.000349608,0.00109565,-0.00109565
-0.75,0.00834245,0.000299417,-0.000299417,0.00116794,-0.00116794
-0.25,0.00753982,0.00041228,-0.00041228,0.00105558,-0.00105558
0.25,0.00828878,0.000452211,-0.000452211,0.00116043,-0.00116043
0.75,0.0098767,0.000350719,-0.000350719,0.00138274,-0.00138274
1.25,0.00900688,0.000259816,-0.000259816,0.00126096,-0.00126096
1.75,0.00842096,0.000271594,-0.000271594,0.00117893,-0.00117893
2.25,0.00725258,0.000231319,-0.000231319,0.00101536,-0.00101536
2.75,0.00613616,0.000303944,-0.000303944,0.000859062,-0.000859062
3.25,0.00557372,0.00013673,-0.00013673,0.000780321,-0.000780321
3.75,0.00535156,0.000216342,-0.000216342,0.000749218,-0.000749218
