#: table_doi: 10.17182/hepdata.73940.v1/t8
#: name: Table 8
#: description: No description provided.
#: data_file: Table8.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2 | V3
#: keyword phrases: Inclusive | Azimuthal Angular Correlation
#: keyword cmenergies: 2760.0
#: PT [GeV],0.0-100.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],60.0-70.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'$\eta$','v$_{2}\{2\}$','stat +','stat -','sys +','sys -'
-3.25,0.0483767,0.000316116,-0.000316116,0.00580521,-0.00580521
-2.75,0.0514812,0.000185038,-0.000185038,0.00617774,-0.00617774
-2.25,0.0556281,0.00023151,-0.00023151,0.00667538,-0.00667538
-1.75,0.0600502,0.00026628,-0.00026628,0.00720602,-0.00720602
-1.25,0.0661529,0.00044404,-0.00044404,0.00793835,-0.00793835
-0.75,0.0659052,0.000439621,-0.000439621,0.00790862,-0.00790862
-0.25,0.0692186,0.000571793,-0.000571793,0.00830623,-0.00830623
0.25,0.0693265,0.000542594,-0.000542594,0.00831918,-0.00831918
0.75,0.0647709,0.000616503,-0.000616503,0.00777251,-0.00777251
1.25,0.0656285,0.000447532,-0.000447532,0.00787542,-0.00787542
1.75,0.0616427,0.000252481,-0.000252481,0.00739713,-0.00739713
2.25,0.0579042,0.00014392,-0.00014392,0.0069485,-0.0069485
2.75,0.0537355,0.000252351,-0.000252351,0.00644826,-0.00644826
3.25,0.0506244,0.000237184,-0.000237184,0.00607492,-0.00607492
3.75,0.0448383,0.000297027,-0.000297027,0.0053806,-0.0053806
4.25,0.0409848,0.000344735,-0.000344735,0.00491817,-0.00491817
4.75,0.037207,0.000461168,-0.000461168,0.00446483,-0.00446483

#: PT [GeV],0.0-100.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],60.0-70.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'$\eta$','v$_{3}\{2\}$','stat +','stat -','sys +','sys -'
-3.25,0.0084757,0.000847893,-0.000847893,0.00110184,-0.00110184
-2.75,0.0101595,0.000604642,-0.000604642,0.00132073,-0.00132073
-2.25,0.0124637,0.000537549,-0.000537549,0.00162028,-0.00162028
-1.75,0.012231,0.000706369,-0.000706369,0.00159003,-0.00159003
-1.25,0.0128784,0.000663406,-0.000663406,0.00154541,-0.00154541
-0.75,0.0144189,0.00127474,-0.00127474,0.00173027,-0.00173027
-0.25,0.0203277,0.00175416,-0.00175416,0.00243933,-0.00243933
0.25,0.014859,0.00125029,-0.00125029,0.00178308,-0.00178308
0.75,0.0122469,0.00151372,-0.00151372,0.00146963,-0.00146963
1.25,0.0102556,0.000668832,-0.000668832,0.00123067,-0.00123067
1.75,0.0137112,0.000592677,-0.000592677,0.00178246,-0.00178246
2.25,0.012108,0.000775044,-0.000775044,0.00157404,-0.00157404
2.75,0.00997042,0.000515722,-0.000515722,0.00129615,-0.00129615
3.25,0.0100063,0.000724423,-0.000724423,0.00130081,-0.00130081
3.75,0.00713336,0.000767041,-0.000767041,0.000927337,-0.000927337
4.25,0.00650241,0.000519125,-0.000519125,0.000845314,-0.000845314
4.75,0.00701782,0.000651975,-0.000651975,0.000912317,-0.000912317

