 #File made by Rachid Nouicer 
 #PHOBOS experiment : AuAu at 200 GeV 
 #----------------------------------- 
 #Centrality bin (%) :  25 to 35 % 
 #Npart:                138 +/- 6
 #
 #dN/dEta vs. Eta 
 #
 #  x         ex          y        +ey        -ey   
 #-------------------------------------------------------  
-5.300000  0.000000  40.981140  7.568790  -11.219124 
-5.100000  0.000000  48.101479  10.080791  -10.999622 
-4.900000  0.000000  58.486591  10.687733  -12.657280 
-4.700000  0.000000  70.522568  10.984207  -14.521336 
-4.500000  0.000000  77.782028  17.299362  -10.198418 
-4.300000  0.000000  93.465065  16.246712  -13.038193 
-4.100000  0.000000  109.240913  15.883614  -14.985550 
-3.900000  0.000000  123.177246  17.796112  -14.497734 
-3.700000  0.000000  136.880280  19.985733  -13.646973 
-3.500000  0.000000  151.182358  21.217194  -13.751663 
-3.300000  0.000000  165.844223  21.352890  -15.017258 
-3.100000  0.000000  183.283630  17.655731  -20.214355 
-2.900000  0.000000  191.909439  21.475159  -17.984863 
-2.700000  0.000000  204.114319  20.261246  -20.831879 
-2.500000  0.000000  209.879349  23.954956  -18.741409 
-2.300000  0.000000  221.708298  20.040146  -24.144669 
-2.100000  0.000000  225.853531  22.300400  -23.173721 
-1.900000  0.000000  230.802872  22.315262  -24.173843 
-1.700000  0.000000  235.839722  20.887177  -26.281799 
-1.500000  0.000000  236.911942  22.166489  -25.304672 
-1.300000  0.000000  239.285583  21.000519  -26.375916 
-1.100000  0.000000  237.812439  22.679718  -24.218048 
-0.900000  0.000000  237.893509  21.998245  -24.096069 
-0.700000  0.000000  236.014008  22.748047  -22.340210 
-0.500000  0.000000  237.033157  20.445602  -23.628616 
-0.300000  0.000000  234.319595  22.173203  -21.131088 
-0.100000  0.000000  234.103546  22.140137  -20.892685 
0.100000  0.000000  232.349670  23.894012  -19.138809 
0.300000  0.000000  233.450089  23.042709  -20.261581 
0.500000  0.000000  234.004272  23.474487  -20.599731 
0.700000  0.000000  235.645355  23.116699  -21.971558 
0.900000  0.000000  236.420578  23.471176  -22.623138 
1.100000  0.000000  235.035995  25.456161  -21.441605 
1.300000  0.000000  233.521255  26.764847  -20.611588 
1.500000  0.000000  234.757706  24.320724  -23.150436 
1.700000  0.000000  232.151733  24.575165  -22.593811 
1.900000  0.000000  231.462402  21.655731  -24.833374 
2.100000  0.000000  229.165100  18.988831  -26.485306 
2.300000  0.000000  219.417709  22.330719  -21.854095 
2.500000  0.000000  210.954773  22.879517  -19.816833 
2.700000  0.000000  202.076889  22.298676  -18.794449 
2.900000  0.000000  193.281693  20.102890  -19.357132 
3.100000  0.000000  187.912537  13.026810  -24.843277 
3.300000  0.000000  173.104156  14.092941  -22.277206 
3.500000  0.000000  158.665527  13.733994  -21.234848 
3.700000  0.000000  138.871643  17.994370  -15.638336 
3.900000  0.000000  123.782196  17.191132  -15.102699 
4.100000  0.000000  109.836678  15.287811  -15.581345 
4.300000  0.000000  94.937096  14.774681  -14.510223 
4.500000  0.000000  80.156425  14.924965  -12.572815 
4.700000  0.000000  70.062309  11.444435  -14.061104 
4.900000  0.000000  59.255318  9.919006  -13.426006 
5.100000  0.000000  48.607998  9.574249  -11.506161 
5.300000  0.000000  41.960190  6.589741  -12.198174 
