pT[GeV/c],minbias,minbiaserr,0-5,0-5err,5-10,5-10err,10-15,10-15err,15-20,15-20err,20-30,20-30err,30-40,30-40err,40-50,40-50err
0.45,5.46e+00,1.1e-01,1.83e+01,3.9e-01,1.50e+01,3.3e-01,1.29e+01,2.8e-01,1.04e+01,2.3e-01,7.81e+00,1.7e-01,5.11e+00,1.1e-01,3.28e+00,7.8e-02
0.55,4.28e+00,7.8e-02,1.48e+01,2.9e-01,1.20e+01,2.4e-01,9.88e+00,2.0e-01,8.30e+00,1.7e-01,6.22e+00,1.2e-01,4.06e+00,8.3e-02,2.43e+00,5.3e-02
0.65,3.11e+00,5.4e-02,1.05e+01,2.0e-01,8.75e+00,1.7e-01,7.38e+00,1.4e-01,6.20e+00,1.2e-01,4.51e+00,8.5e-02,2.89e+00,5.7e-02,1.78e+00,3.8e-02
0.75,2.27e+00,3.9e-02,7.97e+00,1.5e-01,6.48e+00,1.2e-01,5.39e+00,1.0e-01,4.46e+00,8.8e-02,3.31e+00,6.2e-02,2.07e+00,4.1e-02,1.26e+00,2.7e-02
0.85,1.69e+00,3.0e-02,5.96e+00,1.2e-01,4.81e+00,9.5e-02,4.02e+00,8.1e-02,3.36e+00,7.0e-02,2.50e+00,4.9e-02,1.60e+00,3.3e-02,9.00e-01,2.1e-02
0.95,1.20e+00,2.2e-02,4.19e+00,8.5e-02,3.47e+00,7.2e-02,2.91e+00,6.1e-02,2.40e+00,5.2e-02,1.74e+00,3.6e-02,1.08e+00,2.4e-02,6.46e-01,1.6e-02
1.05,9.06e-01,1.7e-02,3.20e+00,6.8e-02,2.61e+00,5.7e-02,2.21e+00,5.0e-02,1.81e+00,4.2e-02,1.31e+00,2.8e-02,8.42e-01,2.0e-02,4.82e-01,1.3e-02
1.15,6.57e-01,1.3e-02,2.31e+00,5.2e-02,1.91e+00,4.4e-02,1.63e+00,3.9e-02,1.29e+00,3.2e-02,9.60e-01,2.2e-02,6.01e-01,1.5e-02,3.48e-01,1.0e-02
1.25,4.55e-01,8.9e-03,1.64e+00,3.9e-02,1.32e+00,3.3e-02,1.14e+00,2.9e-02,8.82e-01,2.4e-02,6.54e-01,1.6e-02,4.22e-01,1.1e-02,2.34e-01,7.5e-03
1.35,3.24e-01,6.5e-03,1.13e+00,2.9e-02,9.63e-01,2.5e-02,7.88e-01,2.2e-02,6.60e-01,1.9e-02,4.68e-01,1.2e-02,2.99e-01,8.7e-03,1.70e-01,5.9e-03
1.45,2.43e-01,5.1e-03,8.52e-01,2.4e-02,7.33e-01,2.1e-02,6.05e-01,1.8e-02,4.91e-01,1.5e-02,3.50e-01,9.9e-03,2.22e-01,7.2e-03,1.20e-01,4.8e-03
1.55,1.76e-01,3.8e-03,6.03e-01,1.8e-02,5.16e-01,1.6e-02,4.33e-01,1.4e-02,3.55e-01,1.2e-02,2.59e-01,7.9e-03,1.63e-01,5.8e-03,9.25e-02,4.0e-03
1.65,1.27e-01,2.9e-03,4.43e-01,1.5e-02,3.84e-01,1.3e-02,3.04e-01,1.1e-02,2.62e-01,1.0e-02,1.88e-01,6.3e-03,1.14e-01,4.6e-03,6.22e-02,3.1e-03
1.75,9.47e-02,2.3e-03,3.61e-01,1.3e-02,2.76e-01,1.1e-02,2.28e-01,9.3e-03,1.92e-01,8.3e-03,1.34e-01,5.1e-03,8.52e-02,3.8e-03,4.81e-02,2.7e-03
1.85,7.24e-02,1.8e-03,2.64e-01,1.0e-02,2.17e-01,9.0e-03,1.72e-01,7.7e-03,1.48e-01,7.0e-03,1.04e-01,4.2e-03,6.58e-02,3.2e-03,3.66e-02,2.3e-03
1.95,5.67e-02,1.5e-03,2.12e-01,9.1e-03,1.67e-01,7.8e-03,1.37e-01,6.9e-03,1.14e-01,6.1e-03,8.21e-02,3.7e-03,4.87e-02,2.7e-03,2.91e-02,2.0e-03
