pT[GeV/c],50-60,50-60err,60-70,60-70err,70-80,70-80err,80-92,80-92err,60-92,60-92err
0.45,1.93e+00,5.0e-02,9.56e-01,2.9e-02,4.06e-01,1.7e-02,1.88e-01,1.1e-02,5.35e-01,1.5e-02
0.55,1.36e+00,3.3e-02,6.72e-01,2.0e-02,2.89e-01,1.2e-02,1.48e-01,7.8e-03,3.83e-01,9.7e-03
0.65,1.01e+00,2.4e-02,4.81e-01,1.4e-02,1.88e-01,8.0e-03,1.02e-01,5.6e-03,2.66e-01,6.8e-03
0.75,6.82e-01,1.7e-02,3.40e-01,1.1e-02,1.24e-01,5.8e-03,5.88e-02,3.9e-03,1.81e-01,4.9e-03
0.85,4.77e-01,1.3e-02,2.33e-01,8.1e-03,9.39e-02,4.8e-03,3.87e-02,3.0e-03,1.26e-01,3.7e-03
0.95,3.51e-01,1.0e-02,1.69e-01,6.4e-03,5.66e-02,3.5e-03,2.99e-02,2.5e-03,8.85e-02,2.9e-03
1.05,2.54e-01,8.2e-03,1.19e-01,5.1e-03,4.40e-02,3.0e-03,2.07e-02,2.0e-03,6.34e-02,2.3e-03
1.15,1.80e-01,6.4e-03,7.84e-02,3.9e-03,3.12e-02,2.4e-03,1.64e-02,1.7e-03,4.35e-02,1.8e-03
1.25,1.28e-01,5.1e-03,5.43e-02,3.1e-03,2.07e-02,1.9e-03,7.94e-03,1.1e-03,2.87e-02,1.4e-03
1.35,8.53e-02,3.9e-03,3.85e-02,2.5e-03,1.38e-02,1.5e-03,6.53e-03,9.9e-04,2.03e-02,1.1e-03
1.45,6.40e-02,3.3e-03,2.94e-02,2.1e-03,1.34e-02,1.4e-03,5.70e-03,9.2e-04,1.68e-02,9.7e-04
1.55,4.73e-02,2.7e-03,2.10e-02,1.8e-03,6.85e-03,1.0e-03,2.84e-03,6.4e-04,1.06e-02,7.5e-04
1.65,3.39e-02,2.2e-03,1.60e-02,1.5e-03,5.62e-03,8.9e-04,2.67e-03,6.1e-04,8.39e-03,6.5e-04
1.75,2.31e-02,1.8e-03,1.04e-02,1.2e-03,4.19e-03,7.6e-04,1.85e-03,5.0e-04,5.68e-03,5.2e-04
1.85,1.72e-02,1.5e-03,8.75e-03,1.1e-03,3.39e-03,6.7e-04,2.09e-03,5.2e-04,4.91e-03,4.7e-04
1.95,1.53e-02,1.4e-03,6.49e-03,9.2e-04,2.75e-03,6.1e-04,1.16e-03,3.9e-04,3.59e-03,4.1e-04
