pT[GeV/c],50-60,50-60err,60-70,60-70err,70-80,70-80err,80-92,80-92err,60-92,60-92err
0.65,3.82e-01,1.5e-02,2.04e-01,9.7e-03,9.09e-02,5.9e-03,4.96e-02,4.2e-03,1.17e-01,4.8e-03
0.75,3.25e-01,1.3e-02,1.65e-01,8.1e-03,7.04e-02,4.9e-03,3.79e-02,3.4e-03,9.26e-02,3.9e-03
0.85,2.60e-01,1.1e-02,1.27e-01,6.5e-03,5.41e-02,4.0e-03,2.62e-02,2.7e-03,7.01e-02,3.1e-03
0.95,2.08e-01,9.1e-03,1.00e-01,5.5e-03,4.11e-02,3.3e-03,2.06e-02,2.3e-03,5.48e-02,2.6e-03
1.05,1.61e-01,7.5e-03,7.43e-02,4.5e-03,3.14e-02,2.8e-03,1.54e-02,1.9e-03,4.10e-02,2.1e-03
1.15,1.24e-01,6.2e-03,5.88e-02,3.8e-03,2.40e-02,2.3e-03,8.08e-03,1.3e-03,3.09e-02,1.7e-03
1.25,9.20e-02,5.0e-03,3.98e-02,3.0e-03,1.68e-02,1.9e-03,6.94e-03,1.2e-03,2.16e-02,1.3e-03
1.35,7.34e-02,4.4e-03,3.41e-02,2.7e-03,1.21e-02,1.6e-03,5.84e-03,1.1e-03,1.77e-02,1.2e-03
1.45,4.98e-02,3.3e-03,2.41e-02,2.2e-03,9.02e-03,1.3e-03,3.61e-03,8.1e-04,1.25e-02,9.4e-04
1.55,4.43e-02,3.1e-03,1.69e-02,1.8e-03,6.98e-03,1.1e-03,2.19e-03,6.3e-04,8.85e-03,7.8e-04
1.65,3.29e-02,2.6e-03,1.30e-02,1.5e-03,4.57e-03,9.0e-04,1.36e-03,4.8e-04,6.42e-03,6.3e-04
1.75,2.37e-02,2.1e-03,9.76e-03,1.3e-03,3.81e-03,8.0e-04,1.40e-03,4.8e-04,5.08e-03,5.5e-04
1.85,1.80e-02,1.8e-03,7.16e-03,1.1e-03,2.56e-03,6.6e-04,8.09e-04,3.7e-04,3.58e-03,4.6e-04
1.95,1.24e-02,1.4e-03,5.34e-03,9.1e-04,2.04e-03,5.7e-04,8.46e-04,3.6e-04,2.79e-03,3.9e-04
2.10,9.33e-03,7.2e-04,3.47e-03,4.2e-04,1.34e-03,2.7e-04,4.08e-04,1.5e-04,1.77e-03,1.8e-04
2.30,4.86e-03,5.0e-04,2.28e-03,3.4e-04,6.06e-04,1.8e-04,2.88e-04,1.2e-04,1.08e-03,1.4e-04
2.50,3.01e-03,3.9e-04,9.91e-04,2.2e-04,3.91e-04,1.4e-04,2.19e-04,1.0e-04,5.42e-04,9.5e-05
2.70,1.66e-03,2.9e-04,6.31e-04,1.7e-04,2.37e-04,1.1e-04,1.12e-04,7.4e-05,3.32e-04,7.4e-05
2.90,1.03e-03,2.2e-04,4.62e-04,1.5e-04,1.06e-04,7.3e-05,3.22e-05,4.0e-05,2.04e-04,5.8e-05
3.25,4.01e-04,8.7e-05,1.66e-04,5.5e-05,6.73e-05,3.6e-05,2.02e-05,2.0e-05,8.58e-05,2.3e-05
3.75,1.45e-04,5.2e-05,5.72e-05,3.2e-05,2.13e-05,1.9e-05,2.89e-06,7.7e-06,2.76e-05,1.3e-05
4.25,4.94e-05,3.2e-05,2.40e-05,2.2e-05,1.02e-05,1.5e-05,2.43e-06,6.7e-06,1.24e-05,9.1e-06
