Path: /HepData/8463/d11-x1-y1
pT-differential invariant yield of kaon+ and kaon- for centrality 0-5%.  These data are also available from http://hepdata.cedar.ac.uk/view/ins1126966
Location: Figure 4B
CENTRALITY : 0.0 - 5.0 pct
RE : PB PB --> K+ X : PB PB --> K- X
SQRT(S)/NUCLEON : 2760.0 GeV
YRAP : -0.5 - 0.5
x : PT IN GEV
y : (1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP IN GEV**-2
xdesc   x   xlow    xhigh   y   dy+ dy- dy+ dy- y   dy+ dy- dy+ dy- 
    0.225   0.2 0.25    44.61   +0.82   -0.82   +5.99   -5.99   46.48   +0.92   -0.92   +6.17   -6.17
    0.275   0.25    0.3 39.27   +0.45   -0.45   +4.28   -4.28   41.15   +0.51   -0.51   +3.7    -3.7
    0.325   0.3 0.35    38.91   +0.4    -0.4    +3.17   -3.17   40.34   +0.43   -0.43   +3.03   -3.03
    0.375   0.35    0.4 37.71   +0.36   -0.36   +3.06   -3.06   38.04   +0.38   -0.38   +2.8    -2.8
    0.425   0.4 0.45    34.74   +0.61   -0.61   +2.84   -2.84   35.75   +0.71   -0.71   +3.17   -3.17
    0.475   0.45    0.5 31.95   +0.33   -0.33   +4.29   -4.29   31.98   +0.38   -0.38   +3.87   -3.87
    0.525   0.5 0.55    28.35   +0.46   -0.46   +1.65   -1.65   28.73   +0.51   -0.51   +1.75   -1.75
    0.575   0.55    0.6 25.3    +0.36   -0.36   +1.73   -1.73   25.61   +0.41   -0.41   +1.72   -1.72
    0.625   0.6 0.65    23.35   +0.33   -0.33   +1.44   -1.44   23.25   +0.37   -0.37   +1.48   -1.48
    0.675   0.65    0.7 21.75   +0.31   -0.31   +1.33   -1.33   21.04   +0.34   -0.34   +1.39   -1.39
    0.725   0.7 0.75    19.71   +0.29   -0.29   +1.2    -1.2    19.63   +0.33   -0.33   +1.34   -1.34
    0.775   0.75    0.8 18.09   +0.27   -0.27   +1.04   -1.04   17.59   +0.31   -0.31   +1.14   -1.14
    0.825   0.8 0.85    15.92   +0.24   -0.24   +0.96   -0.96   15.64   +0.27   -0.27   +1.0    -1.0
    0.875   0.85    0.9 14.46   +0.24   -0.24   +0.84   -0.84   14.32   +0.27   -0.27   +0.87   -0.87
    0.925   0.9 0.95    12.68   +0.22   -0.22   +0.73   -0.73   12.6    +0.25   -0.25   +0.75   -0.75
    0.975   0.95    1.0 11.19   +0.2    -0.2    +0.63   -0.63   11.27   +0.23   -0.23   +0.7    -0.7
    1.05    1.0 1.1 9.233   +0.127  -0.127  +0.54   -0.54   9.151   +0.143  -0.143  +0.566  -0.566
    1.15    1.1 1.2 7.272   +0.11   -0.11   +0.434  -0.434  7.013   +0.119  -0.119  +0.421  -0.421
    1.25    1.2 1.3 5.668   +0.061  -0.061  +0.469  -0.469  5.565   +0.066  -0.066  +0.502  -0.502
    1.35    1.3 1.4 4.443   +0.053  -0.053  +0.374  -0.374  4.328   +0.056  -0.056  +0.396  -0.396
    1.45    1.4 1.5 3.415   +0.044  -0.044  +0.293  -0.293  3.262   +0.045  -0.045  +0.304  -0.304
    1.55    1.5 1.6 2.634   +0.036  -0.036  +0.232  -0.232  2.525   +0.038  -0.038  +0.242  -0.242
    1.65    1.6 1.7 2.035   +0.031  -0.031  +0.185  -0.185  1.932   +0.031  -0.031  +0.191  -0.191
    1.75    1.7 1.8 1.57    +0.025  -0.025  +0.148  -0.148  1.484   +0.026  -0.026  +0.152  -0.152
    1.85    1.8 1.9 1.198   +0.021  -0.021  +0.118  -0.118  1.165   +0.022  -0.022  +0.125  -0.125
    1.95    1.9 2.0 0.8994  +0.0163 -0.0163 +0.0922 -0.0922 0.8959  +0.0185 -0.0185 +0.1003 -0.1003
    2.05    2.0 2.1 0.7075  +0.0141 -0.0141 +0.076  -0.076  0.7024  +0.0159 -0.0159 +0.0827 -0.0827
    2.15    2.1 2.2 0.5347  +0.0112 -0.0112 +0.0603 -0.0603 0.5277  +0.0127 -0.0127 +0.0655 -0.0655
    2.25    2.2 2.3 0.4492  +0.0105 -0.0105 +0.0534 -0.0534 0.4235  +0.0112 -0.0112 +0.0556 -0.0556
    2.35    2.3 2.4 0.3302  +0.008  -0.008  +0.0414 -0.0414 0.3372  +0.0098 -0.0098 +0.0469 -0.0469
    2.45    2.4 2.5 0.2613  +0.0067 -0.0067 +0.0346 -0.0346 0.2372  +0.0068 -0.0068 +0.035  -0.035
    2.55    2.5 2.6 0.2088  +0.0059 -0.0059 +0.0292 -0.0292 0.195   +0.0062 -0.0062 +0.0306 -0.0306
    2.65    2.6 2.7 0.1632  +0.005  -0.005  +0.0242 -0.0242 0.1553  +0.0055 -0.0055 +0.0259 -0.0259
    2.75    2.7 2.8 0.1186  +0.0036 -0.0036 +0.0186 -0.0186 0.1313  +0.0051 -0.0051 +0.0233 -0.0233
    2.85    2.8 2.9 0.09641 +0.00321    -0.00321    +0.01603    -0.01603    0.09329 +0.00366    -0.00366    +0.01763    -0.01763
    2.95    2.9 3.0 0.0763  +0.0027 -0.0027 +0.01344    -0.01344    0.07665 +0.00331    -0.00331    +0.01541    -0.01541


