Path: /HepData/8463/d1-x1-y1
pT-differential invariant yield of pion+ and pion- for centrality 0-5%.  These data are also available from http://hepdata.cedar.ac.uk/view/ins1126966
Location: Figure 4A
CENTRALITY : 0.0 - 5.0 pct
RE : PB PB --> PI+ X : PB PB --> PI- X
SQRT(S)/NUCLEON : 2760.0 GeV
YRAP : -0.5 - 0.5
x : PT IN GEV
y : (1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP IN GEV**-2
xdesc   x   xlow    xhigh   y   dy+ dy- dy+ dy- y   dy+ dy- dy+ dy- 
0.11    0.1 0.12    1543.0  +12.0   -12.0   +210.0  -210.0  1504.0  +12.0   -12.0   +200.0  -200.0
0.13    0.12    0.14    1404.0  +8.0    -8.0    +177.0  -177.0  1366.0  +8.0    -8.0    +172.0  -172.0
0.15    0.14    0.16    1258.0  +6.0    -6.0    +158.0  -158.0  1230.0  +6.0    -6.0    +154.0  -154.0
0.17    0.16    0.18    1125.0  +5.0    -5.0    +141.0  -141.0  1104.0  +5.0    -5.0    +138.0  -138.0
0.19    0.18    0.2 1022.0  +4.0    -4.0    +128.0  -128.0  994.8   +4.2    -4.2    +125.1  -125.1
0.225   0.2 0.25    809.9   +1.6    -1.6    +60.5   -60.5   797.1   +1.6    -1.6    +59.6   -59.6
0.275   0.25    0.3 618.3   +1.2    -1.2    +47.1   -47.1   617.1   +1.2    -1.2    +45.5   -45.5
0.325   0.3 0.35    481.9   +1.0    -1.0    +37.9   -37.9   482.9   +1.0    -1.0    +37.3   -37.3
0.375   0.35    0.4 379.4   +0.8    -0.8    +27.8   -27.8   381.4   +0.8    -0.8    +27.1   -27.1
0.425   0.4 0.45    301.4   +0.7    -0.7    +21.3   -21.3   304.6   +0.7    -0.7    +21.4   -21.4
0.475   0.45    0.5 240.0   +0.6    -0.6    +16.7   -16.7   242.8   +0.6    -0.6    +16.7   -16.7
0.525   0.5 0.55    193.0   +0.5    -0.5    +9.9    -9.9    195.1   +0.5    -0.5    +9.8    -9.8
0.575   0.55    0.6 157.1   +0.4    -0.4    +7.8    -7.8    158.8   +0.4    -0.4    +7.6    -7.6
0.625   0.6 0.65    129.0   +0.4    -0.4    +6.7    -6.7    130.6   +0.4    -0.4    +6.5    -6.5
0.675   0.65    0.7 106.5   +0.4    -0.4    +5.6    -5.6    107.3   +0.4    -0.4    +5.4    -5.4
0.725   0.7 0.75    87.64   +0.32   -0.32   +4.59   -4.59   88.38   +0.32   -0.32   +4.47   -4.47
0.775   0.75    0.8 73.17   +0.29   -0.29   +3.96   -3.96   73.82   +0.29   -0.29   +3.76   -3.76
0.825   0.8 0.85    60.82   +0.27   -0.27   +3.32   -3.32   61.41   +0.27   -0.27   +3.12   -3.12
0.875   0.85    0.9 51.11   +0.23   -0.23   +2.9    -2.9    51.03   +0.23   -0.23   +2.57   -2.57
0.925   0.9 0.95    42.94   +0.22   -0.22   +2.43   -2.43   43.31   +0.22   -0.22   +2.23   -2.23
0.975   0.95    1.0 36.22   +0.2    -0.2    +1.96   -1.96   36.61   +0.2    -0.2    +1.91   -1.91
1.05    1.0 1.1 27.86   +0.12   -0.12   +1.55   -1.55   28.26   +0.12   -0.12   +1.54   -1.54
1.15    1.1 1.2 19.99   +0.1    -0.1    +1.13   -1.13   20.21   +0.1    -0.1    +1.07   -1.07
1.25    1.2 1.3 14.67   +0.07   -0.07   +0.89   -0.89   14.82   +0.07   -0.07   +0.89   -0.89
1.35    1.3 1.4 10.7    +0.05   -0.05   +0.65   -0.65   10.79   +0.06   -0.06   +0.65   -0.65
1.45    1.4 1.5 7.692   +0.042  -0.042  +0.474  -0.474  7.771   +0.042  -0.042  +0.475  -0.475
1.55    1.5 1.6 5.659   +0.036  -0.036  +0.353  -0.353  5.662   +0.036  -0.036  +0.35   -0.35
1.65    1.6 1.7 4.185   +0.033  -0.033  +0.265  -0.265  4.155   +0.032  -0.032  +0.261  -0.261
1.75    1.7 1.8 3.083   +0.023  -0.023  +0.199  -0.199  3.099   +0.023  -0.023  +0.198  -0.198
1.85    1.8 1.9 2.287   +0.019  -0.019  +0.15   -0.15   2.296   +0.019  -0.019  +0.15   -0.15
1.95    1.9 2.0 1.71    +0.02   -0.02   +0.115  -0.115  1.739   +0.02   -0.02   +0.116  -0.116
2.05    2.0 2.1 1.283   +0.015  -0.015  +0.089  -0.089  1.306   +0.016  -0.016  +0.09   -0.09
2.15    2.1 2.2 0.971   +0.0143 -0.0143 +0.0694 -0.0694 0.98    +0.0144 -0.0144 +0.0696 -0.0696
2.25    2.2 2.3 0.7306  +0.0094 -0.0094 +0.054  -0.054  0.7403  +0.0095 -0.0095 +0.0543 -0.0543
2.35    2.3 2.4 0.5846  +0.0083 -0.0083 +0.0448 -0.0448 0.5719  +0.0079 -0.0079 +0.0435 -0.0435
2.45    2.4 2.5 0.4331  +0.0103 -0.0103 +0.0345 -0.0345 0.4435  +0.0106 -0.0106 +0.0351 -0.0351
2.55    2.5 2.6 0.3362  +0.0082 -0.0082 +0.0279 -0.0279 0.3369  +0.0083 -0.0083 +0.0277 -0.0277
2.65    2.6 2.7 0.2615  +0.0084 -0.0084 +0.0226 -0.0226 0.2679  +0.0086 -0.0086 +0.023  -0.023
