Path: /HepData/8463/d21-x1-y1
pT-differential invariant yield of proton and antiproton for centrality 0-5%.  These data are also available from http://hepdata.cedar.ac.uk/view/ins1126966
Location: Figure 4C
CENTRALITY : 0.0 - 5.0 pct
RE : PB PB --> P X : PB PB --> PBAR X
SQRT(S)/NUCLEON : 2760.0 GeV
YRAP : -0.5 - 0.5
x : PT IN GEV
y : (1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP IN GEV**-2
xdesc   x   xlow    xhigh   y   dy+ dy- dy+ dy- y   dy+ dy- dy+ dy- 
    0.325   0.3 0.35    4.526   +0.147  -0.147  +0.652  -0.652  4.491   +0.16   -0.16   +0.682  -0.682
    0.375   0.35    0.4 4.388   +0.113  -0.113  +0.626  -0.626  4.416   +0.123  -0.123  +0.636  -0.636
    0.425   0.4 0.45    4.3 +0.091  -0.091  +0.601  -0.601  4.349   +0.102  -0.102  +0.62   -0.62
    0.475   0.45    0.5 3.935   +0.043  -0.043  +0.477  -0.477  4.137   +0.053  -0.053  +0.408  -0.408
    0.525   0.5 0.55    4.158   +0.044  -0.044  +0.368  -0.368  4.237   +0.053  -0.053  +0.398  -0.398
    0.575   0.55    0.6 4.191   +0.042  -0.042  +0.341  -0.341  4.181   +0.051  -0.051  +0.418  -0.418
    0.625   0.6 0.65    4.085   +0.032  -0.032  +0.369  -0.369  3.909   +0.038  -0.038  +0.367  -0.367
    0.675   0.65    0.7 3.951   +0.031  -0.031  +0.332  -0.332  3.825   +0.05   -0.05   +0.328  -0.328
    0.725   0.7 0.75    3.848   +0.034  -0.034  +0.305  -0.305  3.757   +0.048  -0.048  +0.299  -0.299
    0.775   0.75    0.8 3.736   +0.034  -0.034  +0.269  -0.269  3.608   +0.047  -0.047  +0.275  -0.275
    0.825   0.8 0.85    3.597   +0.034  -0.034  +0.247  -0.247  3.537   +0.047  -0.047  +0.253  -0.253
    0.875   0.85    0.9 3.435   +0.033  -0.033  +0.229  -0.229  3.401   +0.046  -0.046  +0.232  -0.232
    0.925   0.9 0.95    3.309   +0.033  -0.033  +0.216  -0.216  3.275   +0.046  -0.046  +0.217  -0.217
    0.975   0.95    1.0 3.159   +0.033  -0.033  +0.2    -0.2    3.145   +0.045  -0.045  +0.21   -0.21
    1.05    1.0 1.1 2.955   +0.023  -0.023  +0.182  -0.182  2.904   +0.031  -0.031  +0.184  -0.184
    1.15    1.1 1.2 2.695   +0.023  -0.023  +0.164  -0.164  2.676   +0.031  -0.031  +0.168  -0.168
    1.25    1.2 1.3 2.431   +0.022  -0.022  +0.144  -0.144  2.392   +0.03   -0.03   +0.149  -0.149
    1.35    1.3 1.4 2.148   +0.021  -0.021  +0.128  -0.128  2.15    +0.029  -0.029  +0.135  -0.135
    1.45    1.4 1.5 1.889   +0.021  -0.021  +0.108  -0.108  1.862   +0.027  -0.027  +0.123  -0.123
    1.55    1.5 1.6 1.622   +0.019  -0.019  +0.091  -0.091  1.571   +0.024  -0.024  +0.095  -0.095
    1.65    1.6 1.7 1.383   +0.018  -0.018  +0.078  -0.078  1.353   +0.023  -0.023  +0.095  -0.095
    1.75    1.7 1.8 1.175   +0.016  -0.016  +0.067  -0.067  1.161   +0.021  -0.021  +0.079  -0.079
    1.85    1.8 1.9 0.989   +0.0141 -0.0141 +0.0684 -0.0684 1.006   +0.019  -0.019  +0.08   -0.08
    1.95    1.9 2.0 0.8179  +0.0124 -0.0124 +0.0568 -0.0568 0.8521  +0.0172 -0.0172 +0.069  -0.069
    2.05    2.0 2.1 0.6894  +0.0114 -0.0114 +0.0483 -0.0483 0.6894  +0.0146 -0.0146 +0.0567 -0.0567
    2.15    2.1 2.2 0.5899  +0.0108 -0.0108 +0.0419 -0.0419 0.564   +0.0129 -0.0129 +0.0473 -0.0473
    2.25    2.2 2.3 0.4688  +0.0091 -0.0091 +0.0339 -0.0339 0.456   +0.0112 -0.0112 +0.0391 -0.0391
    2.35    2.3 2.4 0.3775  +0.0075 -0.0075 +0.0279 -0.0279 0.3615  +0.0091 -0.0091 +0.0318 -0.0318
    2.45    2.4 2.5 0.3061  +0.0064 -0.0064 +0.0232 -0.0232 0.3151  +0.0089 -0.0089 +0.0285 -0.0285
    2.55    2.5 2.6 0.2587  +0.006  -0.006  +0.0202 -0.0202 0.2452  +0.0072 -0.0072 +0.0228 -0.0228
    2.65    2.6 2.7 0.2088  +0.0052 -0.0052 +0.0168 -0.0168 0.2015  +0.0064 -0.0064 +0.0194 -0.0194
    2.75    2.7 2.8 0.1656  +0.0042 -0.0042 +0.0138 -0.0138 0.1699  +0.0061 -0.0061 +0.0169 -0.0169
    2.85    2.8 2.9 0.1321  +0.0036 -0.0036 +0.0115 -0.0115 0.1313  +0.0049 -0.0049 +0.0135 -0.0135
    2.95    2.9 3.0 0.1065  +0.0031 -0.0031 +0.0097 -0.0097 0.1047  +0.0041 -0.0041 +0.0112 -0.0112
    3.1 3.0 3.2 0.07735 +0.0017 -0.0017 +0.00751    -0.00751    0.07663 +0.00239    -0.00239    +0.00868    -0.00868
    3.3 3.2 3.4 0.04992 +0.00123    -0.00123    +0.00534    -0.00534    0.04589 +0.00154    -0.00154    +0.00564    -0.00564
