Path: /HepData/8463/d24-x1-y1
pT-differential invariant yield of proton and antiproton for centrality 20-30%
Location: Figure 4C
CENTRALITY : 20.0 - 30.0 pct
RE : PB PB --> P X : PB PB --> PBAR X
SQRT(S)/NUCLEON : 2760.0 GeV
YRAP : -0.5 - 0.5
x : PT IN GEV
y : (1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP IN GEV**-2
xdesc   x   xlow    xhigh   y   dy+ dy- dy+ dy- y   dy+ dy- dy+ dy- 
    0.325   0.3 0.35    2.238   +0.059  -0.059  +0.289  -0.289  2.371   +0.068  -0.068  +0.326  -0.326
    0.375   0.35    0.4 2.116   +0.044  -0.044  +0.27   -0.27   2.332   +0.055  -0.055  +0.301  -0.301
    0.425   0.4 0.45    2.146   +0.038  -0.038  +0.267  -0.267  2.224   +0.044  -0.044  +0.283  -0.283
    0.475   0.45    0.5 1.787   +0.02   -0.02   +0.269  -0.269  1.878   +0.024  -0.024  +0.259  -0.259
    0.525   0.5 0.55    1.878   +0.02   -0.02   +0.244  -0.244  1.934   +0.024  -0.024  +0.24   -0.24
    0.575   0.55    0.6 1.887   +0.02   -0.02   +0.234  -0.234  1.919   +0.023  -0.023  +0.186  -0.186
    0.625   0.6 0.65    1.804   +0.016  -0.016  +0.168  -0.168  1.805   +0.02   -0.02   +0.159  -0.159
    0.675   0.65    0.7 1.785   +0.016  -0.016  +0.149  -0.149  1.776   +0.027  -0.027  +0.153  -0.153
    0.725   0.7 0.75    1.758   +0.018  -0.018  +0.15   -0.15   1.787   +0.027  -0.027  +0.141  -0.141
    0.775   0.75    0.8 1.731   +0.018  -0.018  +0.15   -0.15   1.705   +0.025  -0.025  +0.128  -0.128
    0.825   0.8 0.85    1.686   +0.018  -0.018  +0.147  -0.147  1.644   +0.025  -0.025  +0.113  -0.113
    0.875   0.85    0.9 1.611   +0.018  -0.018  +0.131  -0.131  1.594   +0.025  -0.025  +0.106  -0.106
    0.925   0.9 0.95    1.539   +0.017  -0.017  +0.127  -0.127  1.492   +0.023  -0.023  +0.109  -0.109
    0.975   0.95    1.0 1.454   +0.017  -0.017  +0.103  -0.103  1.442   +0.023  -0.023  +0.094  -0.094
    1.05    1.0 1.1 1.346   +0.012  -0.012  +0.089  -0.089  1.322   +0.016  -0.016  +0.085  -0.085
    1.15    1.1 1.2 1.195   +0.011  -0.011  +0.076  -0.076  1.185   +0.015  -0.015  +0.074  -0.074
    1.25    1.2 1.3 1.049   +0.011  -0.011  +0.071  -0.071  1.056   +0.015  -0.015  +0.064  -0.064
    1.35    1.3 1.4 0.9141  +0.0102 -0.0102 +0.0574 -0.0574 0.9358  +0.0143 -0.0143 +0.056  -0.056
    1.45    1.4 1.5 0.7897  +0.0095 -0.0095 +0.0465 -0.0465 0.7963  +0.0128 -0.0128 +0.0482 -0.0482
    1.55    1.5 1.6 0.6752  +0.0089 -0.0089 +0.0395 -0.0395 0.6639  +0.0117 -0.0117 +0.0389 -0.0389
    1.65    1.6 1.7 0.5623  +0.0082 -0.0082 +0.0307 -0.0307 0.5586  +0.0108 -0.0108 +0.0343 -0.0343
    1.75    1.7 1.8 0.4735  +0.0074 -0.0074 +0.026  -0.026  0.477   +0.01   -0.01   +0.0281 -0.0281
    1.85    1.8 1.9 0.3818  +0.0048 -0.0048 +0.0264 -0.0264 0.3905  +0.0065 -0.0065 +0.0312 -0.0312
    1.95    1.9 2.0 0.3184  +0.0044 -0.0044 +0.0221 -0.0221 0.3189  +0.0057 -0.0057 +0.0258 -0.0258
    2.05    2.0 2.1 0.2599  +0.0038 -0.0038 +0.0182 -0.0182 0.2734  +0.0053 -0.0053 +0.0225 -0.0225
    2.15    2.1 2.2 0.2191  +0.0035 -0.0035 +0.0156 -0.0156 0.2198  +0.0046 -0.0046 +0.0184 -0.0184
    2.25    2.2 2.3 0.1735  +0.003  -0.003  +0.0125 -0.0125 0.1785  +0.004  -0.004  +0.0153 -0.0153
    2.35    2.3 2.4 0.1471  +0.0027 -0.0027 +0.0109 -0.0109 0.1465  +0.0035 -0.0035 +0.0129 -0.0129
    2.45    2.4 2.5 0.1181  +0.0023 -0.0023 +0.009  -0.009  0.1149  +0.0029 -0.0029 +0.0104 -0.0104
    2.55    2.5 2.6 0.09303 +0.00191    -0.00191    +0.00726    -0.00726    0.08809 +0.00232    -0.00232    +0.0082 -0.0082
    2.65    2.6 2.7 0.0764  +0.00172    -0.00172    +0.00616    -0.00616    0.07695 +0.00224    -0.00224    +0.0074 -0.0074
    2.75    2.7 2.8 0.0623  +0.00147    -0.00147    +0.00521    -0.00521    0.06242 +0.00202    -0.00202    +0.0062 -0.0062
    2.85    2.8 2.9 0.05005 +0.00125    -0.00125    +0.00436    -0.00436    0.05033 +0.00167    -0.00167    +0.00518    -0.00518
    2.95    2.9 3.0 0.03852 +9.8E-4 -9.8E-4 +0.0035 -0.0035 0.04034 +0.00144    -0.00144    +0.00431    -0.00431
    3.1 3.0 3.2 0.03061 +6.4E-4 -6.4E-4 +0.00297    -0.00297    0.02908 +8.0E-4 -8.0E-4 +0.00329    -0.00329
    3.3 3.2 3.4 0.01992 +4.6E-4 -4.6E-4 +0.00213    -0.00213    0.01929 +6.1E-4 -6.1E-4 +0.00237    -0.00237
