Path: /HepData/8463/d12-x1-y1
pT-differential invariant yield of kaon+ and kaon- for centrality 5-10%
Location: Figure 4B
CENTRALITY : 5.0 - 10.0 pct
RE : PB PB --> K+ X : PB PB --> K- X
SQRT(S)/NUCLEON : 2760.0 GeV
YRAP : -0.5 - 0.5
x : PT IN GEV
y : (1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP IN GEV**-2
xdesc   x   xlow    xhigh   y   dy+ dy- dy+ dy- y   dy+ dy- dy+ dy- 
    0.225   0.2 0.25    40.28   +0.77   -0.77   +5.18   -5.18   38.73   +0.76   -0.76   +4.92   -4.92
    0.275   0.25    0.3 33.4    +0.39   -0.39   +2.57   -2.57   34.61   +0.44   -0.44   +2.77   -2.77
    0.325   0.3 0.35    33.68   +0.35   -0.35   +2.51   -2.51   33.66   +0.37   -0.37   +2.37   -2.37
    0.375   0.35    0.4 32.17   +0.31   -0.31   +2.21   -2.21   32.05   +0.32   -0.32   +2.16   -2.16
    0.425   0.4 0.45    29.66   +0.53   -0.53   +2.02   -2.02   30.49   +0.6    -0.6    +2.09   -2.09
    0.475   0.45    0.5 26.59   +0.28   -0.28   +3.74   -3.74   26.25   +0.31   -0.31   +3.24   -3.24
    0.525   0.5 0.55    23.79   +0.38   -0.38   +1.4    -1.4    24.13   +0.43   -0.43   +1.6    -1.6
    0.575   0.55    0.6 20.97   +0.3    -0.3    +1.35   -1.35   21.3    +0.34   -0.34   +1.52   -1.52
    0.625   0.6 0.65    19.46   +0.28   -0.28   +1.17   -1.17   19.09   +0.31   -0.31   +1.28   -1.28
    0.675   0.65    0.7 17.95   +0.26   -0.26   +1.08   -1.08   17.56   +0.29   -0.29   +1.13   -1.13
    0.725   0.7 0.75    16.46   +0.24   -0.24   +0.97   -0.97   15.79   +0.26   -0.26   +1.03   -1.03
    0.775   0.75    0.8 14.61   +0.22   -0.22   +0.84   -0.84   14.53   +0.25   -0.25   +0.99   -0.99
    0.825   0.8 0.85    12.97   +0.2    -0.2    +0.84   -0.84   12.91   +0.23   -0.23   +0.84   -0.84
    0.875   0.85    0.9 11.52   +0.19   -0.19   +0.67   -0.67   12.07   +0.23   -0.23   +0.75   -0.75
    0.925   0.9 0.95    10.21   +0.18   -0.18   +0.58   -0.58   10.4    +0.21   -0.21   +0.66   -0.66
    0.975   0.95    1.0 9.351   +0.169  -0.169  +0.529  -0.529  9.331   +0.195  -0.195  +0.557  -0.557
    1.05    1.0 1.1 7.679   +0.105  -0.105  +0.433  -0.433  7.484   +0.117  -0.117  +0.453  -0.453
    1.15    1.1 1.2 6.045   +0.092  -0.092  +0.342  -0.342  5.843   +0.101  -0.101  +0.342  -0.342
    1.25    1.2 1.3 4.668   +0.052  -0.052  +0.386  -0.386  4.45    +0.053  -0.053  +0.401  -0.401
    1.35    1.3 1.4 3.631   +0.043  -0.043  +0.305  -0.305  3.492   +0.045  -0.045  +0.319  -0.319
    1.45    1.4 1.5 2.773   +0.036  -0.036  +0.238  -0.238  2.682   +0.038  -0.038  +0.25   -0.25
    1.55    1.5 1.6 2.122   +0.03   -0.03   +0.187  -0.187  2.107   +0.032  -0.032  +0.202  -0.202
    1.65    1.6 1.7 1.643   +0.025  -0.025  +0.15   -0.15   1.588   +0.026  -0.026  +0.157  -0.157
    1.75    1.7 1.8 1.27    +0.021  -0.021  +0.12   -0.12   1.253   +0.023  -0.023  +0.128  -0.128
    1.85    1.8 1.9 0.9798  +0.017  -0.017  +0.0962 -0.0962 0.9676  +0.0192 -0.0192 +0.1035 -0.1035
    1.95    1.9 2.0 0.7609  +0.0143 -0.0143 +0.078  -0.078  0.749   +0.016  -0.016  +0.0839 -0.0839
    2.05    2.0 2.1 0.5941  +0.0121 -0.0121 +0.0638 -0.0638 0.5736  +0.013  -0.013  +0.0675 -0.0675
    2.15    2.1 2.2 0.4583  +0.01   -0.01   +0.0517 -0.0517 0.4579  +0.0114 -0.0114 +0.0569 -0.0569
    2.25    2.2 2.3 0.3617  +0.0084 -0.0084 +0.043  -0.043  0.3555  +0.0097 -0.0097 +0.0467 -0.0467
    2.35    2.3 2.4 0.2634  +0.0063 -0.0063 +0.033  -0.033  0.2889  +0.0085 -0.0085 +0.0402 -0.0402
    2.45    2.4 2.5 0.2165  +0.0058 -0.0058 +0.0287 -0.0287 0.2091  +0.0063 -0.0063 +0.0309 -0.0309
    2.55    2.5 2.6 0.1751  +0.005  -0.005  +0.0245 -0.0245 0.1642  +0.0052 -0.0052 +0.0258 -0.0258
    2.65    2.6 2.7 0.1361  +0.0042 -0.0042 +0.0202 -0.0202 0.1224  +0.0042 -0.0042 +0.0204 -0.0204
    2.75    2.7 2.8 0.1065  +0.0034 -0.0034 +0.0167 -0.0167 0.09945 +0.00378    -0.00378    +0.01767    -0.01767
    2.85    2.8 2.9 0.08585 +0.00308    -0.00308    +0.01427    -0.01427    0.07936 +0.0032 -0.0032 +0.015  -0.015
    2.95    2.9 3.0 0.06294 +0.00224    -0.00224    +0.01108    -0.01108    0.06484 +0.00299    -0.00299    +0.01304    -0.01304


