Path: /HepData/8463/d2-x1-y1
pT-differential invariant yield of pion+ and pion- for centrality 5-10%
Location: Figure 4A
CENTRALITY : 5.0 - 10.0 pct
RE : PB PB --> PI+ X : PB PB --> PI- X
SQRT(S)/NUCLEON : 2760.0 GeV
YRAP : -0.5 - 0.5
x : PT IN GEV
y : (1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP IN GEV**-2
xdesc   x   xlow    xhigh   y   dy+ dy- dy+ dy- y   dy+ dy- dy+ dy- 
0.11    0.1 0.12    1274.0  +10.0   -10.0   +166.0  -166.0  1218.0  +9.0    -9.0    +155.0  -155.0
0.13    0.12    0.14    1139.0  +6.0    -6.0    +137.0  -137.0  1104.0  +6.0    -6.0    +132.0  -132.0
0.15    0.14    0.16    1019.0  +5.0    -5.0    +122.0  -122.0  998.7   +4.9    -4.9    +119.3  -119.3
0.17    0.16    0.18    924.0   +4.0    -4.0    +110.4  -110.4  900.4   +4.0    -4.0    +107.5  -107.5
0.19    0.18    0.2 828.5   +3.4    -3.4    +98.9   -98.9   808.9   +3.3    -3.3    +96.8   -96.8
0.225   0.2 0.25    676.1   +1.7    -1.7    +48.1   -48.1   662.5   +1.7    -1.7    +48.1   -48.1
0.275   0.25    0.3 514.4   +1.3    -1.3    +36.3   -36.3   512.5   +1.3    -1.3    +36.6   -36.6
0.325   0.3 0.35    400.2   +1.1    -1.1    +29.8   -29.8   401.4   +1.0    -1.0    +30.6   -30.6
0.375   0.35    0.4 315.4   +0.9    -0.9    +21.7   -21.7   318.0   +0.9    -0.9    +22.3   -22.3
0.425   0.4 0.45    249.9   +0.7    -0.7    +16.8   -16.8   253.2   +0.8    -0.8    +17.4   -17.4
0.475   0.45    0.5 199.8   +0.6    -0.6    +13.3   -13.3   202.3   +0.6    -0.6    +13.7   -13.7
0.525   0.5 0.55    158.2   +0.5    -0.5    +7.9    -7.9    159.6   +0.5    -0.5    +7.9    -7.9
0.575   0.55    0.6 128.9   +0.4    -0.4    +6.2    -6.2    130.1   +0.4    -0.4    +6.3    -6.3
0.625   0.6 0.65    106.0   +0.4    -0.4    +5.5    -5.5    107.2   +0.4    -0.4    +5.4    -5.4
0.675   0.65    0.7 87.13   +0.37   -0.37   +4.37   -4.37   88.16   +0.36   -0.36   +4.56   -4.56
0.725   0.7 0.75    72.33   +0.33   -0.33   +3.61   -3.61   73.02   +0.32   -0.32   +3.69   -3.69
0.775   0.75    0.8 60.11   +0.3    -0.3    +3.0    -3.0    60.4    +0.29   -0.29   +2.99   -2.99
0.825   0.8 0.85    50.12   +0.27   -0.27   +2.47   -2.47   50.43   +0.27   -0.27   +2.46   -2.46
0.875   0.85    0.9 42.15   +0.24   -0.24   +2.1    -2.1    42.44   +0.24   -0.24   +2.09   -2.09
0.925   0.9 0.95    35.42   +0.22   -0.22   +1.76   -1.76   35.68   +0.22   -0.22   +1.73   -1.73
0.975   0.95    1.0 29.68   +0.2    -0.2    +1.48   -1.48   30.02   +0.2    -0.2    +1.46   -1.46
1.05    1.0 1.1 23.13   +0.12   -0.12   +1.17   -1.17   23.29   +0.12   -0.12   +1.13   -1.13
1.15    1.1 1.2 16.47   +0.1    -0.1    +0.84   -0.84   16.65   +0.1    -0.1    +0.85   -0.85
1.25    1.2 1.3 12.07   +0.06   -0.06   +0.74   -0.74   12.16   +0.06   -0.06   +0.73   -0.73
1.35    1.3 1.4 8.849   +0.047  -0.047  +0.541  -0.541  8.838   +0.046  -0.046  +0.535  -0.535
1.45    1.4 1.5 6.403   +0.035  -0.035  +0.395  -0.395  6.358   +0.035  -0.035  +0.388  -0.388
1.55    1.5 1.6 4.71    +0.031  -0.031  +0.293  -0.293  4.711   +0.03   -0.03   +0.291  -0.291
1.65    1.6 1.7 3.462   +0.027  -0.027  +0.219  -0.219  3.441   +0.027  -0.027  +0.216  -0.216
1.75    1.7 1.8 2.552   +0.019  -0.019  +0.164  -0.164  2.566   +0.02   -0.02   +0.164  -0.164
1.85    1.8 1.9 1.896   +0.016  -0.016  +0.125  -0.125  1.912   +0.016  -0.016  +0.125  -0.125
1.95    1.9 2.0 1.429   +0.017  -0.017  +0.096  -0.096  1.456   +0.017  -0.017  +0.098  -0.098
2.05    2.0 2.1 1.089   +0.013  -0.013  +0.076  -0.076  1.07    +0.013  -0.013  +0.074  -0.074
2.15    2.1 2.2 0.8176  +0.0122 -0.0122 +0.0585 -0.0585 0.8211  +0.0122 -0.0122 +0.0583 -0.0583
2.25    2.2 2.3 0.6144  +0.008  -0.008  +0.0454 -0.0454 0.6346  +0.0084 -0.0084 +0.0466 -0.0466
2.35    2.3 2.4 0.488   +0.007  -0.007  +0.0374 -0.0374 0.4822  +0.0068 -0.0068 +0.0367 -0.0367
2.45    2.4 2.5 0.3714  +0.0089 -0.0089 +0.0296 -0.0296 0.3701  +0.0088 -0.0088 +0.0293 -0.0293
2.55    2.5 2.6 0.286   +0.0071 -0.0071 +0.0237 -0.0237 0.2884  +0.0071 -0.0071 +0.0237 -0.0237
2.65    2.6 2.7 0.2191  +0.0071 -0.0071 +0.019  -0.019  0.2248  +0.0072 -0.0072 +0.0193 -0.0193
2.75    2.7 2.8 0.1762  +0.0043 -0.0043 +0.0159 -0.0159 0.1812  +0.0044 -0.0044 +0.0163 -0.0163
