#: table_doi: 10.17182/hepdata.58994.v1/t13
#: name: Table 13
#: description: Measurements of the second-order elliptic anisotropy parameter using the cumulant method, V2(C2) v PT for the centrality range 0-5%.

#: data_file: Table13.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],0.0-5.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=C2)','stat +','stat -','sys +','sys -'
0.351,0.0167,7.3e-05,-7.3e-05,0.000665,-0.000665
0.449,0.0217,7.4e-05,-7.4e-05,0.000864,-0.000864
0.549,0.0263,7.9e-05,-7.9e-05,0.000833,-0.000833
0.694,0.0316,6e-05,-6e-05,0.001,-0.001
0.894,0.0387,8e-05,-8e-05,0.00123,-0.00123
1.09,0.0441,9e-05,-9e-05,0.0014,-0.0014
1.38,0.0542,9e-05,-9e-05,0.00172,-0.00172
1.76,0.0633,0.00013,-0.00013,0.002,-0.002
2.21,0.0728,0.0002,-0.0002,0.0023,-0.0023
2.71,0.0796,0.00032,-0.00032,0.00252,-0.00252
3.21,0.0831,0.00052,-0.00052,0.00263,-0.00263
3.97,0.0819,0.0009,-0.0009,0.00259,-0.00259
5.41,0.0669,0.002,-0.002,0.00212,-0.00212
6.75,0.0716,0.0027,-0.0027,0.00227,-0.00227
8.83,0.0751,0.00518,-0.00518,0.00238,-0.00238
10.9,0.0786,0.00834,-0.00834,0.00249,-0.00249
13.6,0.0751,0.0101,-0.0101,0.0024,-0.0024
18.3,0.1549,0.0165,-0.0165,0.0049,-0.0049

