#: table_doi: 10.17182/hepdata.58994.v1/t28
#: name: Table 28
#: description: Measurements of the fourth-order elliptic anisotropy parameter using the cumulant method, V2(C4) v PT for the centrality range 20-25%.

#: data_file: Table28.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],20.0-25.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=C4)','stat +','stat -','sys +','sys -'
0.351,0.0324,0.00012,-0.00012,0.0015,-0.0015
0.449,0.045,0.00012,-0.00012,0.00208,-0.00208
0.549,0.0562,0.00013,-0.00013,0.00255,-0.00255
0.694,0.0709,0.00011,-0.00011,0.00322,-0.00322
0.894,0.089,0.00013,-0.00013,0.00404,-0.00404
1.09,0.1044,0.00015,-0.00015,0.00474,-0.00474
1.38,0.1265,0.00015,-0.00015,0.00574,-0.00574
1.76,0.1487,0.00022,-0.00022,0.00675,-0.00675
2.21,0.1682,0.00032,-0.00032,0.00764,-0.00764
2.71,0.1813,0.0005,-0.0005,0.00823,-0.00823
3.21,0.185,0.00078,-0.00078,0.0084,-0.0084
3.72,0.1704,0.00119,-0.00119,0.00774,-0.00774
4.39,0.1632,0.00143,-0.00143,0.00741,-0.00741
5.41,0.1271,0.00266,-0.00266,0.00577,-0.00577
6.75,0.0955,0.00351,-0.00351,0.00434,-0.00434
8.82,0.0841,0.00684,-0.00684,0.00382,-0.00382
10.9,0.0567,0.0112,-0.0112,0.0026,-0.0026
13.5,0.0965,0.0138,-0.0138,0.0044,-0.0044
18.3,0.0626,0.0226,-0.0226,0.0028,-0.0028

