#: table_doi: 10.17182/hepdata.58994.v1/t42
#: name: Table 42
#: description: Measurements of the elliptic anisotropy parameter using the Lee-Yang zeros method, V2(LYZ) v PT for the centrality range 40-50%.

#: data_file: Table42.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],40.0-50.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=LYZ)','stat +','stat -','sys +','sys -'
0.35,0.04138,0.00031,-0.00031,0.00136,-0.00136
0.449,0.05586,0.00031,-0.00031,0.00183,-0.00183
0.549,0.06915,0.00033,-0.00033,0.00223,-0.00223
0.694,0.08639,0.00027,-0.00027,0.00279,-0.00279
0.893,0.10671,0.00032,-0.00032,0.00344,-0.00344
1.09,0.12346,0.00039,-0.00039,0.00399,-0.00399
1.38,0.14345,0.00037,-0.00037,0.00463,-0.00463
1.76,0.16269,0.00057,-0.00057,0.00525,-0.00525
2.21,0.17498,0.00086,-0.00086,0.00565,-0.00565
2.71,0.17669,0.00136,-0.00136,0.00571,-0.00571
3.22,0.17175,0.00208,-0.00208,0.00555,-0.00555
3.72,0.16218,0.00307,-0.00307,0.00524,-0.00524
4.4,0.14087,0.00352,-0.00352,0.00455,-0.00455
5.42,0.11044,0.00624,-0.00624,0.00357,-0.00357
6.76,0.10033,0.00815,-0.00815,0.00324,-0.00324
8.82,0.0819,0.0159,-0.0159,0.0027,-0.0027
10.9,0.0777,0.0267,-0.0267,0.0027,-0.0027
13.6,0.0747,0.0335,-0.0335,0.0024,-0.0024
18.2,0.0383,0.0567,-0.0567,0.0015,-0.0015

