#: table_doi: 10.17182/hepdata.58994.v1/t43
#: name: Table 43
#: description: Integrtated V2 as a function of centrality.

#: data_file: Table43.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'CENTRALITY [PCT]','V2(V=EP)','stat +','stat -','sys +','sys -'
2.5,0.027008,3.5e-05,-3.5e-05,0.000864,-0.000864
7.5,0.04541,3e-05,-3e-05,0.00145,-0.00145
12.5,0.060754,2.9e-05,-2.9e-05,0.000911,-0.000911
17.5,0.07322,3e-05,-3e-05,0.0011,-0.0011
22.5,0.08347,3e-05,-3e-05,0.00125,-0.00125
27.5,0.09173,4e-05,-4e-05,0.00138,-0.00138
32.5,0.09819,4e-05,-4e-05,0.00147,-0.00147
37.5,0.10264,5e-05,-5e-05,0.00154,-0.00154
45.0,0.10634,5e-05,-5e-05,0.0016,-0.0016
55.0,0.10611,8e-05,-8e-05,0.00159,-0.00159
65.0,0.09861,0.00015,-0.00015,0.00148,-0.00148

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'CENTRALITY [PCT]',' V2(V=C2)','stat +','stat -','sys +','sys -'
2.5,0.0337,8.3e-05,-8.3e-05,0.000526,-0.000526
7.5,0.0516,8e-05,-8e-05,0.00108,-0.00108
12.5,0.0672,9e-05,-9e-05,0.00287,-0.00287
17.5,0.08,0.0001,-0.0001,0.00341,-0.00341
22.5,0.0904,0.00011,-0.00011,0.00385,-0.00385
27.5,0.099,0.00012,-0.00012,0.00422,-0.00422
32.5,0.1057,0.00013,-0.00013,0.00451,-0.00451
37.5,0.1105,0.00015,-0.00015,0.00471,-0.00471
45.0,0.1143,0.00014,-0.00014,0.00484,-0.00484
55.0,0.1155,0.0002,-0.0002,0.00489,-0.00489
65.0,0.1129,0.00034,-0.00034,0.00478,-0.00478

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'CENTRALITY [PCT]',' V2(V=C4)','stat +','stat -','sys +','sys -'
2.5,'-',0,0,0,0
7.5,0.038,0.00018,-0.00018,0.00212,-0.00212
12.5,0.0537,0.00013,-0.00013,0.00241,-0.00241
17.5,0.0658,0.00013,-0.00013,0.00295,-0.00295
22.5,0.0757,0.00014,-0.00014,0.0034,-0.0034
27.5,0.0834,0.00015,-0.00015,0.00374,-0.00374
32.5,0.0894,0.00018,-0.00018,0.00401,-0.00401
37.5,0.0909,0.00022,-0.00022,0.00408,-0.00408
45.0,0.0918,0.00024,-0.00024,0.00485,-0.00485
55.0,0.0876,0.00057,-0.00057,0.00463,-0.00463
65.0,0.0753,0.00188,-0.00188,0.00398,-0.00398

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'CENTRALITY [PCT]',' V2(V=LYZ)','stat +','stat -','sys +','sys -'
2.5,'-',0,0,0,0
7.5,0.03619,0.000145,-0.000145,0.000565,-0.000565
12.5,0.052167,6.7e-05,-6.7e-05,0.000916,-0.000916
17.5,0.06416,6e-05,-6e-05,0.00113,-0.00113
22.5,0.07354,6e-05,-6e-05,0.00129,-0.00129
27.5,0.08047,7e-05,-7e-05,0.00141,-0.00141
32.5,0.08537,8e-05,-8e-05,0.0015,-0.0015
37.5,0.08759,0.00011,-0.00011,0.00154,-0.00154
45.0,0.08705,0.00015,-0.00015,0.00205,-0.00205
55.0,'-',0,0,0,0
65.0,'-',0,0,0,0

