#: table_doi: 10.17182/hepdata.58994.v1/t44
#: name: Table 44
#: description: Pseudorapidity dependence of V2 for centrality 0-5%.

#: data_file: Table44.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],0.0-5.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP','V2(V=EP)','stat +','stat -','sys +','sys -'
-2.19,0.02495,0.00016,-0.00016,0.00016,-0.00016
-1.79,0.02474,0.00013,-0.00013,0.00013,-0.00013
-1.39,0.025641,8.5e-05,-8.5e-05,8.5e-05,-8.5e-05
-0.996,0.026323,7.3e-05,-7.3e-05,7.3e-05,-7.3e-05
-0.597,0.026814,7e-05,-7e-05,7e-05,-7e-05
-0.2,0.026941,6.8e-05,-6.8e-05,6.8e-05,-6.8e-05
0.198,0.026726,6.8e-05,-6.8e-05,6.8e-05,-6.8e-05
0.596,0.026789,7.1e-05,-7.1e-05,7.1e-05,-7.1e-05
0.995,0.026324,7.5e-05,-7.5e-05,7.5e-05,-7.5e-05
1.39,0.025768,8.7e-05,-8.7e-05,8.7e-05,-8.7e-05
1.78,0.02516,0.00013,-0.00013,0.00013,-0.00013
2.18,0.02477,0.00017,-0.00017,0.00017,-0.00017

#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],0.0-5.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP',' V2(V=C2)'
-2.19,'-'
-1.79,'-'
-1.39,'-'
-0.996,'-'
-0.597,'-'
-0.2,'-'
0.198,'-'
0.596,'-'
0.995,'-'
1.39,'-'
1.78,'-'
2.18,'-'

#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],0.0-5.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP',' V2(V=C4)'
-2.19,'-'
-1.79,'-'
-1.39,'-'
-0.996,'-'
-0.597,'-'
-0.2,'-'
0.198,'-'
0.596,'-'
0.995,'-'
1.39,'-'
1.78,'-'
2.18,'-'

#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],0.0-5.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP',' V2(V=LYZ)'
-2.19,'-'
-1.79,'-'
-1.39,'-'
-0.996,'-'
-0.597,'-'
-0.2,'-'
0.198,'-'
0.596,'-'
0.995,'-'
1.39,'-'
1.78,'-'
2.18,'-'

