#: table_doi: 10.17182/hepdata.58994.v1/t46
#: name: Table 46
#: description: Pseudorapidity dependence of V2 for centrality 10-15%.

#: data_file: Table46.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],10.0-15.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP','V2(V=EP)','stat +','stat -','sys +','sys -'
-2.19,0.05699,0.00013,-0.00013,0.00013,-0.00013
-1.79,0.05633,0.0001,-0.0001,0.0001,-0.0001
-1.39,0.057925,7e-05,-7e-05,7e-05,-7e-05
-0.996,0.05929,6e-05,-6e-05,6e-05,-6e-05
-0.597,0.05995,5.8e-05,-5.8e-05,5.8e-05,-5.8e-05
-0.2,0.060241,5.6e-05,-5.6e-05,5.6e-05,-5.6e-05
0.198,0.060264,5.6e-05,-5.6e-05,5.6e-05,-5.6e-05
0.596,0.06008,5.9e-05,-5.9e-05,5.9e-05,-5.9e-05
0.995,0.059282,6.2e-05,-6.2e-05,6.2e-05,-6.2e-05
1.39,0.058152,7.2e-05,-7.2e-05,7.2e-05,-7.2e-05
1.78,0.0566,0.00011,-0.00011,0.00011,-0.00011
2.18,0.05698,0.00013,-0.00013,0.00013,-0.00013

#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],10.0-15.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP',' V2(V=C2)','stat +','stat -','sys +','sys -'
-2.19,0.0595,0.0001,-0.0001,0.0001,-0.0001
-1.79,0.0614,9e-05,-9e-05,9e-05,-9e-05
-1.39,0.0614,7e-05,-7e-05,7e-05,-7e-05
-0.996,0.0622,6e-05,-6e-05,6e-05,-6e-05
-0.597,0.0634,6e-05,-6e-05,6e-05,-6e-05
-0.2,0.064,6e-05,-6e-05,6e-05,-6e-05
0.198,0.0643,6e-05,-6e-05,6e-05,-6e-05
0.596,0.0642,6e-05,-6e-05,6e-05,-6e-05
0.995,0.063,6e-05,-6e-05,6e-05,-6e-05
1.39,0.0621,7e-05,-7e-05,7e-05,-7e-05
1.78,0.0567,9e-05,-9e-05,9e-05,-9e-05
2.18,0.0569,0.00011,-0.00011,0.00011,-0.00011

#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],10.0-15.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP',' V2(V=C4)','stat +','stat -','sys +','sys -'
-2.19,0.0494,0.00012,-0.00012,0.00012,-0.00012
-1.79,0.0496,0.0001,-0.0001,0.0001,-0.0001
-1.39,0.0496,8e-05,-8e-05,7e-05,-7e-05
-0.996,0.0503,7e-05,-7e-05,7e-05,-7e-05
-0.597,0.0511,7e-05,-7e-05,6e-05,-6e-05
-0.2,0.0512,7e-05,-7e-05,6e-05,-6e-05
0.198,0.0511,7e-05,-7e-05,6e-05,-6e-05
0.596,0.051,7e-05,-7e-05,7e-05,-7e-05
0.995,0.051,7e-05,-7e-05,7e-05,-7e-05
1.39,0.0505,8e-05,-8e-05,8e-05,-8e-05
1.78,0.0495,0.0001,-0.0001,0.0001,-0.0001
2.18,0.0497,0.00012,-0.00012,0.00012,-0.00012

#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],10.0-15.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP',' V2(V=LYZ)','stat +','stat -','sys +','sys -'
-2.19,0.05248,0.00019,-0.00019,0.00019,-0.00019
-1.79,0.05225,0.00015,-0.00015,0.00015,-0.00015
-1.39,0.051024,0.000107,-0.000107,0.000107,-0.000107
-0.996,0.051302,9.3e-05,-9.3e-05,9.3e-05,-9.3e-05
-0.597,0.051856,8.9e-05,-8.9e-05,8.9e-05,-8.9e-05
-0.2,0.052202,8.6e-05,-8.6e-05,8.6e-05,-8.6e-05
0.198,0.052333,8.7e-05,-8.7e-05,8.7e-05,-8.7e-05
0.596,0.052178,9.1e-05,-9.1e-05,9.1e-05,-9.1e-05
0.995,0.051408,9.5e-05,-9.5e-05,9.5e-05,-9.5e-05
1.39,0.050779,0.00011,-0.00011,0.00011,-0.00011
1.78,0.05137,0.00015,-0.00015,0.00015,-0.00015
2.18,0.05098,0.0002,-0.0002,0.0002,-0.0002

