#: table_doi: 10.17182/hepdata.58994.v1/t55
#: name: Table 55
#: description: Pseudorapidity dependence of V2 for centrality 70-80%.

#: data_file: Table55.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],70.0-80.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP','V2(V=EP)','stat +','stat -','sys +','sys -'
-2.19,0.07332,0.00158,-0.00158,0.00158,-0.00158
-1.79,0.07756,0.00123,-0.00123,0.00123,-0.00123
-1.39,0.07882,0.00085,-0.00085,0.00085,-0.00085
-0.996,0.08189,0.00074,-0.00074,0.00074,-0.00074
-0.597,0.08414,0.00071,-0.00071,0.00071,-0.00071
-0.2,0.08747,0.00069,-0.00069,0.00069,-0.00069
0.198,0.0877,0.00071,-0.00071,0.00071,-0.00071
0.596,0.08518,0.00073,-0.00073,0.00073,-0.00073
0.995,0.08283,0.00077,-0.00077,0.00077,-0.00077
1.39,0.07941,0.00089,-0.00089,0.00089,-0.00089
1.78,0.07733,0.00128,-0.00128,0.00128,-0.00128
2.18,0.0753,0.00162,-0.00162,0.00162,-0.00162

#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],70.0-80.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP',' V2(V=C2)'
-2.19,'-'
-1.79,'-'
-1.39,'-'
-0.996,'-'
-0.597,'-'
-0.2,'-'
0.198,'-'
0.596,'-'
0.995,'-'
1.39,'-'
1.78,'-'
2.18,'-'

#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],70.0-80.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP',' V2(V=C4)'
-2.19,'-'
-1.79,'-'
-1.39,'-'
-0.996,'-'
-0.597,'-'
-0.2,'-'
0.198,'-'
0.596,'-'
0.995,'-'
1.39,'-'
1.78,'-'
2.18,'-'

#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],70.0-80.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP',' V2(V=LYZ)'
-2.19,'-'
-1.79,'-'
-1.39,'-'
-0.996,'-'
-0.597,'-'
-0.2,'-'
0.198,'-'
0.596,'-'
0.995,'-'
1.39,'-'
1.78,'-'
2.18,'-'

