#: table_doi: 10.17182/hepdata.58994.v1/t68
#: name: Table 68
#: description: PT dependence of V2(EP) for centrality 30-35% and |eta| ranges 0.0-0.4, 0.4-0.8 and 0.8-1.2.

#: data_file: Table68.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.0-0.4
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.045064,0.000151,-0.000151,0.000676,-0.000676
0.451,0.059883,0.000154,-0.000154,0.000898,-0.000898
0.55,0.07402,0.00016,-0.00016,0.00111,-0.00111
0.698,0.09254,0.00013,-0.00013,0.00139,-0.00139
0.896,0.11551,0.00016,-0.00016,0.00173,-0.00173
1.09,0.13599,0.00019,-0.00019,0.00204,-0.00204
1.39,0.15937,0.00018,-0.00018,0.00239,-0.00239
1.76,0.18714,0.00028,-0.00028,0.00281,-0.00281
2.21,0.21082,0.00043,-0.00043,0.00316,-0.00316
2.71,0.22446,0.00069,-0.00069,0.00337,-0.00337
3.22,0.22729,0.00107,-0.00107,0.00341,-0.00341

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.4-0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.044817,0.00013,-0.00013,0.000672,-0.000672
0.451,0.059376,0.000126,-0.000126,0.000891,-0.000891
0.55,0.07371,0.00013,-0.00013,0.00111,-0.00111
0.698,0.09234,0.0001,-0.0001,0.00139,-0.00139
0.896,0.11512,0.00012,-0.00012,0.00173,-0.00173
1.09,0.13533,0.00014,-0.00014,0.00203,-0.00203
1.39,0.1584,0.00013,-0.00013,0.00238,-0.00238
1.76,0.18627,0.00021,-0.00021,0.00279,-0.00279
2.21,0.21088,0.00034,-0.00034,0.00316,-0.00316
2.71,0.22403,0.00056,-0.00056,0.00336,-0.00336
3.22,0.2251,0.00089,-0.00089,0.00338,-0.00338

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.8-1.2
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.044415,0.000177,-0.000177,0.000666,-0.000666
0.451,0.059181,0.000172,-0.000172,0.000888,-0.000888
0.55,0.07296,0.00018,-0.00018,0.00109,-0.00109
0.698,0.0917,0.00014,-0.00014,0.00138,-0.00138
0.896,0.11437,0.00017,-0.00017,0.00172,-0.00172
1.09,0.13473,0.0002,-0.0002,0.00202,-0.00202
1.39,0.15781,0.00019,-0.00019,0.00237,-0.00237
1.76,0.18521,0.0003,-0.0003,0.00278,-0.00278
2.21,0.20961,0.00049,-0.00049,0.00314,-0.00314
2.71,0.22409,0.00078,-0.00078,0.00336,-0.00336
3.22,0.22235,0.00122,-0.00122,0.00334,-0.00334

