#: table_doi: 10.17182/hepdata.58994.v1/t82
#: name: Table 82
#: description: Measurements of the elliptic anisotropy parameter using the event-plane method, V2(EP) v PT for the centrality range 20-30%.

#: data_file: Table82.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],20.0-30.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=EP)','stat +','stat -','sys +','sys -'
0.254,0.0289,7.3e-05,-7.3e-05,0.000434,-0.000434
0.351,0.0405,6.5e-05,-6.5e-05,0.000607,-0.000607
0.449,0.0534,6.6e-05,-6.6e-05,0.000801,-0.000801
0.549,0.0657,6.9e-05,-6.9e-05,0.000986,-0.000986
0.694,0.0818,6e-05,-6e-05,0.00123,-0.00123
0.894,0.102,7e-05,-7e-05,0.00153,-0.00153
1.09,0.119,8e-05,-8e-05,0.00178,-0.00178
1.38,0.141,8e-05,-8e-05,0.00212,-0.00212
1.76,0.166,0.00012,-0.00012,0.00249,-0.00249
2.21,0.19,0.00018,-0.00018,0.00285,-0.00285
2.71,0.205,0.00029,-0.00029,0.00308,-0.00308
3.21,0.21,0.00045,-0.00045,0.00315,-0.00315
3.72,0.202,0.00068,-0.00068,0.00303,-0.00303
4.39,0.182,0.00081,-0.00081,0.00273,-0.00273
5.41,0.146,0.00148,-0.00148,0.00219,-0.00219
6.75,0.113,0.00194,-0.00194,0.0017,-0.0017
8.82,0.0861,0.00374,-0.00374,0.00129,-0.00129
10.9,0.0741,0.00615,-0.00615,0.00111,-0.00111
13.5,0.0712,0.00761,-0.00761,0.00107,-0.00107
18.3,0.0407,0.0124,-0.0124,0.0006,-0.0006

