#: table_doi: 10.17182/hepdata.58994.v1/t88
#: name: Table 88
#: description: Measurements of the second- and fourth-order elliptic anisotropy parameters  using the cumulant method v PT for the centrality range 20-60%.

#: data_file: Table88.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],20.0-60.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=C2)','stat +','stat -','sys +','sys -'
0.351,0.04348,5e-05,-5e-05,0.00183,-0.00183
0.449,0.06057,5e-05,-5e-05,0.00254,-0.00254
0.549,0.07641,5e-05,-5e-05,0.00321,-0.00321
0.694,0.09518,4e-05,-4e-05,0.004,-0.004
0.894,0.11883,5e-05,-5e-05,0.00499,-0.00499
1.09,0.13654,6e-05,-6e-05,0.00573,-0.00573
1.38,0.16883,6e-05,-6e-05,0.00709,-0.00709
1.76,0.19706,9e-05,-9e-05,0.00828,-0.00828
2.21,0.22305,0.00013,-0.00013,0.00937,-0.00937
2.71,0.23731,0.00021,-0.00021,0.00997,-0.00997
3.22,0.2392,0.0003,-0.0003,0.01,-0.01
3.72,0.22449,0.00048,-0.00048,0.00943,-0.00943
4.39,0.22993,0.00057,-0.00057,0.00966,-0.00966
5.42,0.18629,0.00102,-0.00102,0.00782,-0.00782
6.75,0.18542,0.00135,-0.00135,0.00779,-0.00779

#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],20.0-60.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=C4)','stat +','stat -','sys +','sys -'
0.351,0.03461,7e-05,-7e-05,0.00208,-0.00208
0.449,0.04868,7e-05,-7e-05,0.00292,-0.00292
0.549,0.06106,8e-05,-8e-05,0.00366,-0.00366
0.694,0.07706,7e-05,-7e-05,0.00462,-0.00462
0.894,0.09611,8e-05,-8e-05,0.00577,-0.00577
1.09,0.11147,0.0001,-0.0001,0.00669,-0.00669
1.38,0.13216,0.0001,-0.0001,0.00793,-0.00793
1.76,0.15275,0.00013,-0.00013,0.00916,-0.00916
2.21,0.1686,0.0002,-0.0002,0.0101,-0.0101
2.71,0.177,0.0003,-0.0003,0.0106,-0.0106
3.22,0.1763,0.0005,-0.0005,0.0106,-0.0106
3.72,0.16536,0.00069,-0.00069,0.00992,-0.00992
4.39,0.152,0.00081,-0.00081,0.00912,-0.00912
5.42,0.11808,0.00147,-0.00147,0.00708,-0.00708
6.75,0.10209,0.00193,-0.00193,0.00613,-0.00613

