#: table_doi: 10.17182/hepdata.58994.v1/t90
#: name: Table 90
#: description: Integrated V2 values from the event-plane method divided by the participant eccentricity (EPSILON)  as a  function of the number of participating nucleons (NPART) for the |eta| range <0.8 and PT range 0-3 GeV. Also shown are the correspnding centrality bin ranges.

#: data_file: Table90.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: PT [GeV],,,0.0-3.0
#: RE,,,PB PB --> CHARGED X
#: ABS(ETARAP),,,< 0.8
#: SQRT(S)/NUCLEON [GeV],,,2760.0
'NPART','CENTRALITY [PCT]','CENTRALITY [PCT] LOW','CENTRALITY [PCT] HIGH','V2(C=EP)/EPSILON','stat +','stat -','sys +','sys -'
381.0,2.5,0.0,5.0,0.2879,0.0148,-0.0148,0.0109,-0.0109
329.0,7.5,5.0,10.0,0.3202,0.0164,-0.0164,0.0132,-0.0132
283.0,12.5,10.0,15.0,0.3082,0.0143,-0.0143,0.0136,-0.0136
240.0,17.5,15.0,20.0,0.2905,0.0134,-0.0134,0.0125,-0.0125
204.0,22.5,20.0,25.0,0.2738,0.0119,-0.0119,0.0102,-0.0102
171.0,27.5,25.0,30.0,0.2589,0.0114,-0.0114,0.0098,-0.0098
143.0,32.5,30.0,35.0,0.2456,0.0108,-0.0108,0.0083,-0.0083
118.0,37.5,35.0,40.0,0.2298,0.0104,-0.0104,0.0067,-0.0067
86.2,45.0,40.0,50.0,0.20883,0.00952,-0.00952,0.00534,-0.00534
53.5,55.0,50.0,60.0,0.17616,0.00834,-0.00834,0.00303,-0.00303
30.5,65.0,60.0,70.0,0.14089,0.00672,-0.00672,0.00288,-0.00288
15.7,75.0,70.0,80.0,0.10273,0.00524,-0.00524,0.00261,-0.00261

