#: table_doi: 10.17182/hepdata.58994.v1/t92
#: name: Table 92
#: description: The dependence of V2 from the event-plane method on the pseudorapidity,  transformed to the rest frame of nuclei moving separately in the positive(negative)  directions by adding(subtracting) the beam rapidity,YBEAM.  +(-)ve values are  from +(-)YBEAM.

#: data_file: Table92.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: PT [GeV],0.0-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],2.5-15.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP +- YBEAM','V2(V=EP)','stat +','stat -','sys +','sys -'
-2.2,0.03635,7e-05,-7e-05,0.00207,-0.00207
-1.8,0.0366,5e-05,-5e-05,0.00204,-0.00204
-1.4,0.0371,4e-05,-4e-05,0.00183,-0.00183
-1.0,0.03752,3e-05,-3e-05,0.00188,-0.00188
-0.6,0.03785,3e-05,-3e-05,0.00193,-0.00193
-0.2,0.03794,3e-05,-3e-05,0.00194,-0.00194
0.2,0.03794,3e-05,-3e-05,0.00193,-0.00193
0.6,0.03791,3e-05,-3e-05,0.00193,-0.00193
1.0,0.03754,3e-05,-3e-05,0.0019,-0.0019
1.4,0.03716,4e-05,-4e-05,0.00185,-0.00185
1.8,0.03682,6e-05,-6e-05,0.00206,-0.00206
2.2,0.03628,7e-05,-7e-05,0.00204,-0.00204

#: PT [GeV],0.0-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],15.0-25.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP +- YBEAM','V2(V=EP)','stat +','stat -','sys +','sys -'
-2.2,0.0559,8e-05,-8e-05,0.00306,-0.00306
-1.8,0.05882,7e-05,-7e-05,0.0027,-0.0027
-1.4,0.05937,4e-05,-4e-05,0.00263,-0.00263
-1.0,0.0602,4e-05,-4e-05,0.00274,-0.00274
-0.6,0.06074,4e-05,-4e-05,0.00279,-0.00279
-0.2,0.06066,3e-05,-3e-05,0.00284,-0.00284
0.2,0.06069,4e-05,-4e-05,0.00284,-0.00284
0.6,0.0607,4e-05,-4e-05,0.0028,-0.0028
1.0,0.05976,4e-05,-4e-05,0.0028,-0.0028
1.4,0.05825,4e-05,-4e-05,0.00278,-0.00278
1.8,0.05762,7e-05,-7e-05,0.00284,-0.00284
2.2,0.05502,8e-05,-8e-05,0.00308,-0.00308

#: PT [GeV],0.0-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],25.0-50.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP +- YBEAM','V2(V=EP)','stat +','stat -','sys +','sys -'
-2.2,0.06945,7e-05,-7e-05,0.00399,-0.00399
-1.8,0.07366,6e-05,-6e-05,0.00353,-0.00353
-1.4,0.07432,4e-05,-4e-05,0.00349,-0.00349
-1.0,0.07546,4e-05,-4e-05,0.0036,-0.0036
-0.6,0.07612,3e-05,-3e-05,0.00369,-0.00369
-0.2,0.07613,3e-05,-3e-05,0.00375,-0.00375
0.2,0.07614,3e-05,-3e-05,0.00376,-0.00376
0.6,0.0761,3e-05,-3e-05,0.00369,-0.00369
1.0,0.07492,4e-05,-4e-05,0.00366,-0.00366
1.4,0.07272,4e-05,-4e-05,0.00365,-0.00365
1.8,0.07196,6e-05,-6e-05,0.00375,-0.00375
2.2,0.06836,7e-05,-7e-05,0.00401,-0.00401

