#: table_doi: 10.17182/hepdata.74447.v1/t10
#: name: Table 10
#: description: pion <uQ>5 as a function of pT in pp collision.

#: data_file: Table10.yaml
#: keyword reactions: p p --> CHARGED X
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 6.0 (GeV/c)
#: Particle,pion
'pT [(GeV/c)]','<uQ>5','stat +','stat -','sys +','sys -'
0.405699,0.00150721,0.000505028,-0.000505028,-0.000662191,0.000662191
0.593969,0.00152639,0.00053687,-0.00053687,-0.000494425,0.000494425
0.79382,0.00176666,0.000685475,-0.000685475,-0.000326658,0.000326658
0.993862,0.00349143,0.00086726,-0.00086726,-0.000158891,0.000158891
1.19403,0.00545949,0.00109244,-0.00109244,-8.87632e-06,8.87632e-06
1.39407,0.00732269,0.0013737,-0.0013737,-0.000176643,0.000176643
1.5945,0.00961709,0.00172419,-0.00172419,-0.00034441,0.00034441
1.79459,0.0116982,0.00213596,-0.00213596,-0.000512177,0.000512177
1.9946,0.00846329,0.00264232,-0.00264232,-0.000679944,0.000679944
2.19503,0.0105054,0.00325544,-0.00325544,-0.000847711,0.000847711
2.47634,0.01585,0.00305446,-0.00305446,-0.00109936,0.00109936
2.87967,0.0214442,0.00434478,-0.00434478,-0.0014349,0.0014349
3.28293,0.0201794,0.00590363,-0.00590363,-0.00177043,0.00177043
3.68327,0.0147767,0.00774701,-0.00774701,-0.00210596,0.00210596
4.30754,0.0263387,0.00734475,-0.00734475,-0.00269315,0.00269315
5.32003,0.0236562,0.0125781,-0.0125781,-0.00353198,0.00353198

