#: table_doi: 10.17182/hepdata.74447.v1/t110
#: name: Table 110
#: description: proton v4 as a function of pT for centrality: 30-40%.

#: data_file: Table110.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.4 < pT < 6.0 (GeV/c)
#: Particle,proton
#: Centrality,30-40%
'pT [(GeV/c)]','v4','stat +','stat -','sys +','sys -'
0.528097,-0.000116605,0.00618409,-0.00618409,-0.00361397,0.00361397
0.706549,-0.000432674,0.00358769,-0.00358769,-0.00328105,0.00328105
0.901708,-0.00156939,0.00311221,-0.00311221,-0.00304883,0.00304883
1.09954,0.00529259,0.00260665,-0.00260665,-0.00291922,0.00291922
1.29821,0.0117652,0.00241333,-0.00241333,-0.00292356,0.00292356
1.49722,0.0171602,0.00267592,-0.00267592,-0.00305579,0.00305579
1.69628,0.0265421,0.00306489,-0.00306489,-0.00330729,0.00330729
1.8959,0.0421111,0.00358197,-0.00358197,-0.00363251,0.00363251
2.09575,0.0433101,0.00424205,-0.00424205,-0.00404296,0.00404296
2.2956,0.0671622,0.00504516,-0.00504516,-0.00448642,0.00448642
2.49553,0.0692833,0.00601863,-0.00601863,-0.00498248,0.00498248
2.69545,0.0829426,0.00721622,-0.00721622,-0.00548233,0.00548233
2.89535,0.0841693,0.00865439,-0.00865439,-0.00602056,0.00602056
3.1775,0.110596,0.0079985,-0.0079985,-0.00684437,0.00684437
3.57921,0.09631,0.0113496,-0.0113496,-0.0080071,0.0080071
3.98062,0.0866712,0.0156411,-0.0156411,-0.00916302,0.00916302
4.46282,0.123347,0.0178959,-0.0178959,-0.0106317,0.0106317
5.06782,0.0619716,0.0259489,-0.0259489,-0.0124421,0.0124421
5.6311,0.00449644,0.0391377,-0.0391377,-0.0140991,0.0140991

