#: table_doi: 10.17182/hepdata.74447.v1/t112
#: name: Table 112
#: description: pion v5 as a function of pT for centrality: 0-1%.

#: data_file: Table112.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 6.0 (GeV/c)
#: Particle,pion
#: Centrality,0-1%
'pT [(GeV/c)]','v5','stat +','stat -','sys +','sys -'
0.413247,-0.00536373,0.000661292,-0.000661292,-0.00328175,0.00328175
0.594128,-0.00651882,0.000629446,-0.000629446,-0.00336464,0.00336464
0.792381,0.000951414,0.000778985,-0.000778985,-0.00358053,0.00358053
0.992111,0.00675259,0.00105104,-0.00105104,-0.00389325,0.00389325
1.19283,0.0127238,0.00142428,-0.00142428,-0.00428223,0.00428223
1.39294,0.0169292,0.00189115,-0.00189115,-0.00472944,0.00472944
1.59339,0.0231965,0.00246855,-0.00246855,-0.0052211,0.0052211
1.79387,0.0233511,0.00317749,-0.00317749,-0.00574773,0.00574773
1.99433,0.025966,0.00404819,-0.00404819,-0.00629166,0.00629166
2.19442,0.0343486,0.00509346,-0.00509346,-0.00686669,0.00686669
2.47409,0.0359611,0.00492864,-0.00492864,-0.00774024,0.00774024
2.87712,0.0412602,0.00732182,-0.00732182,-0.00894476,0.00894476
3.2789,0.0531186,0.0104873,-0.0104873,-0.0101813,0.0101813
3.67951,0.0327064,0.0146031,-0.0146031,-0.0114238,0.0114238
4.28573,0.0376485,0.0150618,-0.0150618,-0.0136526,0.0136526
5.30388,0.00291658,0.029074,-0.029074,-0.0168517,0.0168517

