#: table_doi: 10.17182/hepdata.74447.v1/t135
#: name: Table 135
#: description: pion delta2 as a function of pT for centrality: 5-10%.

#: data_file: Table135.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 6.0 (GeV/c)
#: Particle,pion
#: Centrality,5-10%
'pT [(GeV/c)]','delta2','stat +','stat -','sys +','sys -'
0.405699,0.00130942,1.56833e-05,-1.56833e-05,-5.69965e-05,5.69965e-05
0.593969,0.00201222,1.66725e-05,-1.66725e-05,-7.6235e-05,7.6235e-05
0.79382,0.00268402,2.12875e-05,-2.12875e-05,-8.61184e-05,8.61184e-05
0.993862,0.00320411,2.69326e-05,-2.69326e-05,-9.60019e-05,9.60019e-05
1.19403,0.00370015,3.39252e-05,-3.39252e-05,-0.000105885,0.000105885
1.39407,0.00409404,4.26595e-05,-4.26595e-05,-0.000115769,0.000115769
1.5945,0.00445908,5.35431e-05,-5.35431e-05,-0.000125652,0.000125652
1.79459,0.00476795,6.63302e-05,-6.63302e-05,-0.000135536,0.000135536
1.9946,0.0051678,8.20542e-05,-8.20542e-05,-0.000145419,0.000145419
2.19503,0.00547435,0.000101094,-0.000101094,-0.000155302,0.000155302
2.39502,0.00558483,0.000123106,-0.000123106,-0.000165186,0.000165186
2.59533,0.00606294,0.000148799,-0.000148799,-0.000175069,0.000175069
2.79575,0.00647316,0.000177159,-0.000177159,-0.000184953,0.000184953
2.99589,0.00691801,0.00020819,-0.00020819,-0.000194836,0.000194836
3.19627,0.00737461,0.00024317,-0.00024317,-0.00020472,0.00020472
3.39666,0.0074787,0.000279048,-0.000279048,-0.000214603,0.000214603
3.59657,0.00761497,0.000319952,-0.000319952,-0.000224486,0.000224486
3.79698,0.00781579,0.000364902,-0.000364902,-0.00023437,0.00023437
4.085,0.00845522,0.00031151,-0.00031151,-0.000249195,0.000249195
4.48648,0.00891034,0.000390417,-0.000390417,-0.000268962,0.000268962
4.88692,0.00969611,0.000486518,-0.000486518,-0.000288729,0.000288729
5.28891,0.0103116,0.000598759,-0.000598759,-0.000308496,0.000308496
5.68944,0.0107381,0.000725854,-0.000725854,-0.000328262,0.000328262

