#: table_doi: 10.17182/hepdata.74447.v1/t16
#: name: Table 16
#: description: kaon <uQ>2 as a function of pT for centrality: 0-1%.

#: data_file: Table16.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 4.0 (GeV/c)
#: Particle,kaon
#: Centrality,0-1%
'pT [(GeV/c)]','<uQ>2','stat +','stat -','sys +','sys -'
0.437333,0.11449,0.0202762,-0.0202762,-0.00384531,0.00384531
0.606815,0.25794,0.00974596,-0.00974596,-0.00384039,0.00384039
0.799984,0.44878,0.00874711,-0.00874711,-0.00384404,0.00384404
0.997249,0.601977,0.00940825,-0.00940825,-0.00384976,0.00384976
1.19561,0.738577,0.0109733,-0.0109733,-0.00385659,0.00385659
1.39463,0.833926,0.0133182,-0.0133182,-0.00386283,0.00386283
1.59457,0.929834,0.0163723,-0.0163723,-0.00386871,0.00386871
1.7947,0.998568,0.0202877,-0.0202877,-0.00387743,0.00387743
1.99495,1.08776,0.0250066,-0.0250066,-0.00388273,0.00388273
2.19502,1.07043,0.0305832,-0.0305832,-0.00389254,0.00389254
2.39521,1.14607,0.0372119,-0.0372119,-0.00389655,0.00389655
2.59547,1.18477,0.04504,-0.04504,-0.00390064,0.00390064
2.79552,1.16852,0.0541275,-0.0541275,-0.00390949,0.00390949
2.99576,1.04466,0.0646751,-0.0646751,-0.00391619,0.00391619
3.19576,1.14417,0.0768845,-0.0768845,-0.00392423,0.00392423
3.39581,1.11068,0.0908052,-0.0908052,-0.00392067,0.00392067
3.59593,0.758636,0.107554,-0.107554,-0.00394282,0.00394282
3.79601,0.860293,0.125355,-0.125355,-0.00395847,0.00395847

