#: table_doi: 10.17182/hepdata.74447.v1/t184
#: name: Table 184
#: description: kaon delta4 as a function of pT for centrality: 5-10%.

#: data_file: Table184.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 4.0 (GeV/c)
#: Particle,kaon
#: Centrality,5-10%
'pT [(GeV/c)]','delta4','stat +','stat -','sys +','sys -'
0.432718,0.000500448,0.000425903,-0.000425903,-5.23285e-05,5.23285e-05
0.602588,0.000616764,0.000244729,-0.000244729,-5.35418e-05,5.35418e-05
0.797838,0.000652795,0.000245443,-0.000245443,-5.47552e-05,5.47552e-05
0.996625,0.000677467,0.000273334,-0.000273334,-5.59685e-05,5.59685e-05
1.19614,0.00118555,0.00031344,-0.00031344,-5.71818e-05,5.71818e-05
1.39539,0.00119191,0.00036434,-0.00036434,-5.83951e-05,5.83951e-05
1.59558,0.00218787,0.000421358,-0.000421358,-5.96084e-05,5.96084e-05
1.79546,0.00202215,0.000499542,-0.000499542,-6.08217e-05,6.08217e-05
1.99508,0.00335591,0.000597635,-0.000597635,-6.2035e-05,6.2035e-05
2.19541,0.00362997,0.000720073,-0.000720073,-6.32484e-05,6.32484e-05
2.39532,0.00362117,0.000872329,-0.000872329,-6.44617e-05,6.44617e-05
2.59488,0.00239169,0.00104938,-0.00104938,-6.5675e-05,6.5675e-05
2.79488,0.00548597,0.0012818,-0.0012818,-6.68883e-05,6.68883e-05
3.07595,0.00419376,0.00117791,-0.00117791,-6.87083e-05,6.87083e-05
3.47409,0.00744702,0.00170717,-0.00170717,-7.11349e-05,7.11349e-05
3.87617,0.0071657,0.00249,-0.00249,-7.35615e-05,7.35615e-05

