#: table_doi: 10.17182/hepdata.74447.v1/t191
#: name: Table 191
#: description: proton delta4 as a function of pT for centrality: 5-10%.

#: data_file: Table191.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.4 < pT < 6.0 (GeV/c)
#: Particle,proton
#: Centrality,5-10%
'pT [(GeV/c)]','delta4','stat +','stat -','sys +','sys -'
0.523065,-6.14405e-05,0.000401606,-0.000401606,-4.29149e-05,4.29149e-05
0.702382,0.000521342,0.000271442,-0.000271442,-6.57992e-05,6.57992e-05
0.897963,0.000809764,0.00026659,-0.00026659,-8.86835e-05,8.86835e-05
1.09642,0.00131907,0.000295,-0.000295,-0.000111568,0.000111568
1.29563,0.00139336,0.000339932,-0.000339932,-0.000134452,0.000134452
1.49606,0.00204481,0.00040038,-0.00040038,-0.000157336,0.000157336
1.69551,0.00189393,0.00047093,-0.00047093,-0.000180221,0.000180221
1.89542,0.00301854,0.000557891,-0.000557891,-0.000203105,0.000203105
2.0953,0.00350879,0.000667878,-0.000667878,-0.000225989,0.000225989
2.29599,0.00298351,0.000793571,-0.000793571,-0.000248874,0.000248874
2.49571,0.00424057,0.000941182,-0.000941182,-0.000271758,0.000271758
2.69551,0.00401221,0.00111451,-0.00111451,-0.000294642,0.000294642
2.89568,0.00520519,0.00130972,-0.00130972,-0.000317527,0.000317527
3.1778,0.00491314,0.00117872,-0.00117872,-0.000351853,0.000351853
3.57913,0.00713009,0.00162954,-0.00162954,-0.000397622,0.000397622
3.9768,0.00397008,0.00221078,-0.00221078,-0.00044339,0.00044339
4.45917,0.00423231,0.0025721,-0.0025721,-0.000500601,0.000500601
5.0647,0.0118925,0.00404689,-0.00404689,-0.000569254,0.000569254
5.6173,0.00890989,0.00668588,-0.00668588,-0.000632186,0.000632186

