#: table_doi: 10.17182/hepdata.74447.v1/t32
#: name: Table 32
#: description: pion <uQ>4 as a function of pT for centrality: 20-30%.

#: data_file: Table32.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 6.0 (GeV/c)
#: Particle,pion
#: Centrality,20-30%
'pT [(GeV/c)]','<uQ>4','stat +','stat -','sys +','sys -'
0.413018,0.00556109,0.00157748,-0.00157748,-0.00693315,0.00693315
0.594179,0.0422598,0.00153267,-0.00153267,-0.00692443,0.00692443
0.792546,0.0959265,0.00203645,-0.00203645,-0.00691469,0.00691469
0.992793,0.142969,0.00276399,-0.00276399,-0.00690946,0.00690946
1.19337,0.190549,0.00366473,-0.00366473,-0.00691291,0.00691291
1.39345,0.243483,0.00476945,-0.00476945,-0.00691249,0.00691249
1.59396,0.273469,0.00604748,-0.00604748,-0.00691677,0.00691677
1.79438,0.32032,0.00763858,-0.00763858,-0.00691262,0.00691262
1.99485,0.370622,0.00952921,-0.00952921,-0.00691271,0.00691271
2.19484,0.389693,0.0117264,-0.0117264,-0.00692558,0.00692558
2.39517,0.404617,0.0143142,-0.0143142,-0.00693343,0.00693343
2.59549,0.441032,0.0173109,-0.0173109,-0.00691816,0.00691816
2.7955,0.464023,0.0206552,-0.0206552,-0.00691731,0.00691731
3.08018,0.460096,0.0185256,-0.0185256,-0.00695138,0.00695138
3.48138,0.379447,0.025291,-0.025291,-0.0069614,0.0069614
3.88146,0.378149,0.0340381,-0.0340381,-0.00696555,0.00696555
4.35902,0.374297,0.0398112,-0.0398112,-0.00700022,0.00700022
4.96397,0.480315,0.0595356,-0.0595356,-0.0069243,0.0069243
5.56903,0.462569,0.0835205,-0.0835205,-0.00698688,0.00698688

