#: table_doi: 10.17182/hepdata.74447.v1/t48
#: name: Table 48
#: description: proton <uQ>5 as a function of pT for centrality: 40-50%.

#: data_file: Table48.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.4 < pT < 6.0 (GeV/c)
#: Particle,proton
#: Centrality,40-50%
'pT [(GeV/c)]','<uQ>5','stat +','stat -','sys +','sys -'
0.528121,-0.0049139,0.0159026,-0.0159026,-0.00517033,0.00517033
0.706205,-0.0208936,0.00925806,-0.00925806,-0.00511836,0.00511836
0.901241,-0.00657251,0.00803492,-0.00803492,-0.00503183,0.00503183
1.09904,0.00011498,0.00800101,-0.00800101,-0.00508527,0.00508527
1.29786,-0.00109039,0.00849874,-0.00849874,-0.00523177,0.00523177
1.49686,0.00708728,0.00949612,-0.00949612,-0.00534305,0.00534305
1.69605,0.0204063,0.010996,-0.010996,-0.0055617,0.0055617
1.89575,0.0374695,0.0129999,-0.0129999,-0.0058139,0.0058139
2.09555,0.0409434,0.0154352,-0.0154352,-0.00609243,0.00609243
2.29553,0.0434482,0.0184447,-0.0184447,-0.00652628,0.00652628
2.57743,0.0712125,0.0169985,-0.0169985,-0.0070311,0.0070311
2.97769,0.0870163,0.0244092,-0.0244092,-0.0078743,0.0078743
3.37898,0.0797285,0.0347152,-0.0347152,-0.00879794,0.00879794
3.78106,0.10453,0.047748,-0.047748,-0.00978337,0.00978337
4.3993,0.0812859,0.0469078,-0.0469078,-0.0116082,0.0116082
5.38206,0.0863755,0.0832003,-0.0832003,-0.0129433,0.0129433

