#: table_doi: 10.17182/hepdata.74447.v1/t5
#: name: Table 5
#: description: kaon <uQ>3 as a function of pT in pp collision.

#: data_file: Table5.yaml
#: keyword reactions: p p --> CHARGED X
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 4.0 (GeV/c)
#: Particle,kaon
'pT [(GeV/c)]','<uQ>3','stat +','stat -','sys +','sys -'
0.432718,0.0106706,0.00347617,-0.00347617,-0.00217438,0.00217438
0.602588,0.00939729,0.00199744,-0.00199744,-0.00199861,0.00199861
0.797838,0.0105812,0.00200327,-0.00200327,-0.00182284,0.00182284
0.996625,0.0182774,0.00223091,-0.00223091,-0.00164707,0.00164707
1.19614,0.0247541,0.00255824,-0.00255824,-0.0014713,0.0014713
1.39539,0.0326784,0.00297368,-0.00297368,-0.00129553,0.00129553
1.59558,0.0333955,0.00343902,-0.00343902,-0.00111976,0.00111976
1.79546,0.031302,0.00407717,-0.00407717,-0.000943995,0.000943995
1.99508,0.0370877,0.00487773,-0.00487773,-0.000768225,0.000768225
2.19541,0.0448156,0.00587706,-0.00587706,-0.000592456,0.000592456
2.39532,0.0355974,0.00711977,-0.00711977,-0.000416686,0.000416686
2.59488,0.0475476,0.00856491,-0.00856491,-0.000240916,0.000240916
2.79488,0.0413039,0.0104618,-0.0104618,-6.51467e-05,6.51467e-05
2.9951,0.0468833,0.0125119,-0.0125119,-0.000110623,0.000110623
3.19652,0.0606122,0.015022,-0.015022,-0.000286393,0.000286393
3.3945,0.0270699,0.0180351,-0.0180351,-0.000462162,0.000462162
3.59507,0.0275949,0.0219458,-0.0219458,-0.000637932,0.000637932
3.79651,0.0624577,0.026186,-0.026186,-0.000813702,0.000813702

