#: table_doi: 10.17182/hepdata.74447.v1/t6
#: name: Table 6
#: description: proton <uQ>3 as a function of pT in pp collision.

#: data_file: Table6.yaml
#: keyword reactions: p p --> CHARGED X
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.4 < pT < 6.0 (GeV/c)
#: Particle,proton
'pT [(GeV/c)]','<uQ>3','stat +','stat -','sys +','sys -'
0.523065,0.00281201,0.0032776,-0.0032776,-0.00319698,0.00319698
0.702382,0.0128514,0.0022153,-0.0022153,-0.00262952,0.00262952
0.897963,0.0197785,0.00217569,-0.00217569,-0.00206206,0.00206206
1.09642,0.0255915,0.00240753,-0.00240753,-0.00149459,0.00149459
1.29563,0.0287971,0.00277423,-0.00277423,-0.000927128,0.000927128
1.49606,0.0329646,0.00326754,-0.00326754,-0.000359664,0.000359664
1.69551,0.0387262,0.00384333,-0.00384333,-0.0002078,0.0002078
1.89542,0.0389986,0.00455297,-0.00455297,-0.000775264,0.000775264
2.0953,0.0421641,0.00545061,-0.00545061,-0.00134273,0.00134273
2.29599,0.0477198,0.00647646,-0.00647646,-0.00191019,0.00191019
2.49571,0.0478424,0.0076811,-0.0076811,-0.00247766,0.00247766
2.69551,0.0572892,0.00909566,-0.00909566,-0.00304512,0.00304512
2.89568,0.0313108,0.0106889,-0.0106889,-0.00361258,0.00361258
3.09536,0.0533131,0.0125973,-0.0125973,-0.00418005,0.00418005
3.29569,0.0485476,0.0148994,-0.0148994,-0.00474751,0.00474751
3.49635,0.0674473,0.0175013,-0.0175013,-0.00531497,0.00531497
3.6966,0.0204448,0.020458,-0.020458,-0.00588244,0.00588244
3.89389,0.0360791,0.0237846,-0.0237846,-0.0064499,0.0064499
4.17954,0.0397965,0.0209743,-0.0209743,-0.0073011,0.0073011
4.58488,0.0347162,0.0277307,-0.0277307,-0.00843602,0.00843602
4.98416,0.110604,0.0381418,-0.0381418,-0.00957095,0.00957095
5.38658,0.0954176,0.0499093,-0.0499093,-0.0107059,0.0107059
5.73584,0.127575,0.0781401,-0.0781401,-0.0116989,0.0116989

