#: table_doi: 10.17182/hepdata.74447.v1/t78
#: name: Table 78
#: description: kaon v3 as a function of pT for centrality: 0-5%.

#: data_file: Table78.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 4.0 (GeV/c)
#: Particle,kaon
#: Centrality,0-5%
'pT [(GeV/c)]','v3','stat +','stat -','sys +','sys -'
0.437412,0.000352612,0.0004969,-0.0004969,-0.00309455,0.00309455
0.606879,0.0053464,0.000246491,-0.000246491,-0.00305047,0.00305047
0.79998,0.0127917,0.000226309,-0.000226309,-0.00304626,0.00304626
0.997312,0.022079,0.000245134,-0.000245134,-0.00307533,0.00307533
1.19558,0.0305143,0.000284171,-0.000284171,-0.00313978,0.00313978
1.39464,0.0395454,0.000341243,-0.000341243,-0.00323404,0.00323404
1.59457,0.0483235,0.000414563,-0.000414563,-0.00335751,0.00335751
1.79474,0.0568195,0.000509032,-0.000509032,-0.00350608,0.00350608
1.99492,0.0635472,0.000623643,-0.000623643,-0.00367737,0.00367737
2.19509,0.0691287,0.000761441,-0.000761441,-0.00386832,0.00386832
2.39522,0.0754189,0.000924259,-0.000924259,-0.00407397,0.00407397
2.59539,0.0777095,0.00111359,-0.00111359,-0.0042956,0.0042956
2.79546,0.081752,0.00134276,-0.00134276,-0.00453017,0.00453017
2.99573,0.0832301,0.00160209,-0.00160209,-0.00477444,0.00477444
3.19578,0.0825986,0.00190518,-0.00190518,-0.0050281,0.0050281
3.396,0.0832239,0.00226038,-0.00226038,-0.005288,0.005288
3.59606,0.080143,0.00266957,-0.00266957,-0.005555,0.005555
3.79629,0.0879681,0.00312425,-0.00312425,-0.00582157,0.00582157

