,cent,entropy
0,0,205.62898671
1,1,164.22633392
2,2,155.73467772
3,3,148.89718635
4,4,142.7348827
5,5,136.88775858
6,6,131.41363771
7,7,126.31607963
8,8,121.40850373
9,9,116.75911293
10,10,112.36181125
11,11,108.1636391
12,12,104.09856019
13,13,100.28591426
14,14,96.589330414
15,15,93.023322621
16,16,89.46049177
17,17,86.060682275
18,18,82.824216326
19,19,79.736444418
20,20,76.728308388
21,21,73.841368055
22,22,71.068556556
23,23,68.358364737
24,24,65.7456675
25,25,63.165707054
26,26,60.707563952
27,27,58.34582669
28,28,56.054296417
29,29,53.835941176
30,30,51.671394987
31,31,49.588412633
32,32,47.554154123
33,33,45.603417091
34,34,43.684858079
35,35,41.851752644
36,36,40.051940305
37,37,38.353770145
38,38,36.678079724
39,39,35.052412967
40,40,33.485135787
41,41,31.993786377
42,42,30.495267047
43,43,29.094770995
44,44,27.712072783
45,45,26.400894333
46,46,25.136600631
47,47,23.888657435
48,48,22.683847691
49,49,21.522735452
50,50,20.396571738
51,51,19.331817614
52,52,18.303365422
53,53,17.315483093
54,54,16.362597515
55,55,15.440955903
56,56,14.568749898
57,57,13.720750308
58,58,12.893648882
59,59,12.111247891
60,60,11.359336611
61,61,10.63721445
62,62,9.9588415621
63,63,9.3113652902
64,64,8.6874768119
65,65,8.0907445599
66,66,7.5216154652
67,67,6.9906777441
68,68,6.4796766154
69,69,5.9941401047
70,70,5.5467706002
71,71,5.1219639931
72,72,4.7200413336
73,73,4.3436317259
74,74,3.9814807904
75,75,3.64958871
76,76,3.3398252332
77,77,3.0440052526
78,78,2.774748817
79,79,2.5241266122
80,80,2.2835708363
81,81,2.0651732493
82,82,1.8555700468
83,83,1.6636888857
84,84,1.4898493386
85,85,1.3259406967
86,86,1.1742156633
87,87,1.0342268161
88,88,0.90709757667
89,89,0.78989181975
90,90,0.68189713903
91,91,0.58199605647
92,92,0.4917264157
93,93,0.40774040223
94,94,0.33259864153
95,95,0.26427613411
96,96,0.20244938775
97,97,0.14649829732
98,98,0.09564595299
99,99,0.048709462226
100,100,9.1404808465e-05
