,cent,entropy_high,entropy_low
0,0_10,215.42756277,118.77138271
1,10_20,118.77084822,80.604833063
2,20_30,80.60481664,53.845589082
3,30_40,53.845371777,34.484939018
4,40_50,34.48490242,20.781321176
5,50_60,20.78067468,11.459437689
6,60_70,11.459412134,5.5742737343
7,70_80,5.5742248415,2.2533547491
8,80_90,2.2533130527,0.65199014662
9,90_100,0.65198301446,0.00019972701656
10,0_1,215.42756277,174.17867568
11,0_6,215.42756277,139.35054198
12,0_5,215.42756277,145.2367681
13,5_10,145.23628843,118.77138271
14,10_15,118.77084822,97.893148328
15,15_20,97.891865755,80.604833063
16,20_25,80.60481664,66.146610055
17,25_30,66.146600596,53.845589082
18,30_35,53.845371777,43.407213639
19,35_40,43.406968602,34.484939018
20,40_45,34.48490242,27.008971827
21,45_50,27.008960085,20.781321176
22,50_55,20.78067468,15.637700804
23,55_60,15.637676757,11.459437689
24,60_65,11.459412134,8.1461542893
25,65_70,8.1461542264,5.5742737343
26,70_75,5.5742248415,3.6365349943
27,75_80,3.6364951091,2.2533547491
28,80_85,2.2533130527,1.2960972336
29,85_90,1.2960954425,0.65199014662
30,90_95,0.65198301446,0.24566011918
31,95_100,0.24564228361,0.00019972701656
