,cent,entropy
0,0,136.61064701
1,1,106.76174596
2,2,101.18239031
3,3,96.691385556
4,4,92.653277237
5,5,88.951903975
6,6,85.440314994
7,7,82.10163535
8,8,78.868572614
9,9,75.826205241
10,10,72.92582403
11,11,70.147261823
12,12,67.536962152
13,13,65.005328351
14,14,62.537723002
15,15,60.206872516
16,16,57.908704339
17,17,55.697724921
18,18,53.587885442
19,19,51.555637263
20,20,49.602460629
21,21,47.690905554
22,22,45.869929895
23,23,44.068610542
24,24,42.371760282
25,25,40.706178169
26,26,39.11502506
27,27,37.56771178
28,28,36.078962989
29,29,34.631396663
30,30,33.230697719
31,31,31.862584262
32,32,30.547305581
33,33,29.233707457
34,34,27.98828785
35,35,26.784878013
36,36,25.615927716
37,37,24.513535826
38,38,23.434106201
39,39,22.384576254
40,40,21.39387831
41,41,20.435803423
42,42,19.488569509
43,43,18.566104375
44,44,17.665546673
45,45,16.811424777
46,46,15.997181966
47,47,15.206126616
48,48,14.449604134
49,49,13.726368069
50,50,13.013815225
51,51,12.328162643
52,52,11.668259479
53,53,11.039823835
54,54,10.439258305
55,55,9.8580318293
56,56,9.3023010777
57,57,8.7764913641
58,58,8.2630916712
59,59,7.768942059
60,60,7.3009909172
61,61,6.8592911945
62,62,6.4348122972
63,63,6.0242295535
64,64,5.6356267992
65,65,5.2666577505
66,66,4.9131538171
67,67,4.5805773071
68,68,4.2694188283
69,69,3.9655490096
70,70,3.675288724
71,71,3.4015522101
72,72,3.1479491156
73,73,2.9067054163
74,74,2.6817410629
75,75,2.4690375548
76,76,2.2678676374
77,77,2.0798699623
78,78,1.8985933756
79,79,1.732406038
80,80,1.5754750457
81,81,1.429844451
82,82,1.2932222461
83,83,1.1649623912
84,84,1.0451805139
85,85,0.93397787465
86,86,0.83029454977
87,87,0.7347820989
88,88,0.64608731041
89,89,0.56296660445
90,90,0.48746706164
91,91,0.41698069194
92,92,0.35212403764
93,93,0.2923727859
94,94,0.23929200279
95,95,0.19051407044
96,96,0.14597420325
97,97,0.10539809167
98,98,0.069454914514
99,99,0.036003765837
100,100,3.8072811278e-05
