# #rapidity dN/dEta
-8.000000000000000000e+00 1.794973021019157233e+00
-7.599999999999999645e+00 3.953273848236722898e+00
-7.200000000000000178e+00 8.438084101582145280e+00
-6.799999999999999822e+00 1.723090850614078562e+01
-6.400000000000000355e+00 3.285322329545007136e+01
-6.000000000000000000e+00 5.661338351232333110e+01
-5.599999999999999645e+00 8.728299774728932903e+01
-5.199999999999999289e+00 1.234684245080033662e+02
-4.799999999999999822e+00 1.679850081588826924e+02
-4.400000000000000355e+00 2.235835717975062948e+02
-4.000000000000000000e+00 2.906063463299371961e+02
-3.599999999999999645e+00 3.657792469844520156e+02
-3.199999999999999289e+00 4.425513474387389579e+02
-2.799999999999999822e+00 5.141353413584236023e+02
-2.399999999999999467e+00 5.753801849795555654e+02
-2.000000000000000000e+00 6.207205228538242636e+02
-1.599999999999999645e+00 6.454583351330246614e+02
-1.199999999999999289e+00 6.495971868110513014e+02
-7.999999999999998224e-01 6.385529541746520863e+02
-3.999999999999994671e-01 6.225694380722773076e+02
0.000000000000000000e+00 6.150975578059408235e+02
4.000000000000003553e-01 6.225662056438595755e+02
8.000000000000007105e-01 6.385545232383692564e+02
1.200000000000001066e+00 6.496000543392727877e+02
1.600000000000001421e+00 6.454565536257126723e+02
2.000000000000000000e+00 6.207152508325202689e+02
2.400000000000000355e+00 5.753748718598042160e+02
2.800000000000000711e+00 5.141407082822618122e+02
3.200000000000001066e+00 4.425694058947009353e+02
3.600000000000001421e+00 3.657987035173205754e+02
4.000000000000000000e+00 2.906162165310524301e+02
4.400000000000000355e+00 2.235556292400869722e+02
4.800000000000000711e+00 1.679735451430061346e+02
5.200000000000001066e+00 1.234597032497187996e+02
5.600000000000001421e+00 8.714647512427275444e+01
6.000000000000000000e+00 5.653347507220447454e+01
6.400000000000000355e+00 3.282842805790566132e+01
6.800000000000000711e+00 1.717722535136706341e+01
7.200000000000001066e+00 8.424889084428025754e+00
7.600000000000001421e+00 3.946176083591578010e+00
8.000000000000000000e+00 1.790885980617839435e+00
