# #rapidity dN/dEta
-8.000000000000000000e+00 5.376007636070287976e-01
-7.599999999999999645e+00 1.190128491642064246e+00
-7.200000000000000178e+00 2.543741271985879404e+00
-6.799999999999999822e+00 5.244033611135402673e+00
-6.400000000000000355e+00 1.015706976898825964e+01
-6.000000000000000000e+00 1.786694642521095844e+01
-5.599999999999999645e+00 2.808191421657462072e+01
-5.199999999999999289e+00 4.005742422372934186e+01
-4.799999999999999822e+00 5.475680181393782675e+01
-4.400000000000000355e+00 7.332960846054857029e+01
-4.000000000000000000e+00 9.602425618330958912e+01
-3.599999999999999645e+00 1.218277221061281494e+02
-3.199999999999999289e+00 1.485845367383581959e+02
-2.799999999999999822e+00 1.739267230018898260e+02
-2.399999999999999467e+00 1.961448109171998624e+02
-2.000000000000000000e+00 2.135271232285820133e+02
-1.599999999999999645e+00 2.245084002592843433e+02
-1.199999999999999289e+00 2.287853864038569327e+02
-7.999999999999998224e-01 2.277891518641226583e+02
-3.999999999999994671e-01 2.243542748943826837e+02
0.000000000000000000e+00 2.225311601698449806e+02
4.000000000000003553e-01 2.243531459331194640e+02
8.000000000000007105e-01 2.277896705226332017e+02
1.200000000000001066e+00 2.287862767424045103e+02
1.600000000000001421e+00 2.245075588907768349e+02
2.000000000000000000e+00 2.135253428452741957e+02
2.400000000000000355e+00 1.961434845502241444e+02
2.800000000000000711e+00 1.739293663079031376e+02
3.200000000000001066e+00 1.485910644877582740e+02
3.600000000000001421e+00 1.218340502067344460e+02
4.000000000000000000e+00 9.602712357714179348e+01
4.400000000000000355e+00 7.331851188847849699e+01
4.800000000000000711e+00 5.475245032166799319e+01
5.200000000000001066e+00 4.005440549117568594e+01
5.600000000000001421e+00 2.803387907790714095e+01
6.000000000000000000e+00 1.785239739391207081e+01
6.400000000000000355e+00 1.015738715917440871e+01
6.800000000000000711e+00 5.230677486118473496e+00
7.200000000000001066e+00 2.541530075816262002e+00
7.600000000000001421e+00 1.189272990528422724e+00
8.000000000000000000e+00 5.369965711723393431e-01
