# #PT (1/2pi)dN/dYptdpt
7.775651001416666874e-03 2.889823057433476894e+00
4.105764502516666414e-02 2.887895295544395058e+00
1.012996176725833308e-01 2.877903197371467048e+00
1.891624605169999751e-01 2.845208792293097311e+00
3.056352268125833160e-01 2.761650545396851619e+00
4.521113856178332613e-01 2.573527640906031699e+00
6.304930188844166672e-01 2.219111585184111224e+00
8.433523806682499124e-01 1.694476333519337574e+00
1.094190206847999836e+00 1.099191036758502049e+00
1.387867309027499996e+00 5.881042669330173167e-01
1.731373241620749903e+00 2.534051000878167481e-01
2.135324518894083035e+00 8.557424612117588147e-02
2.617293264146166365e+00 2.164320384695559915e-02
3.210890275540499772e+00 3.727234639267971300e-03
4.002173797723832749e+00 3.429554649220369978e-04
