# #rapidity dN/dY
-8.000000000000000000e+00 1.981875542470841928e-11
-7.599999999999999645e+00 5.255499355887557869e-08
-7.200000000000000178e+00 2.125413791237736315e-05
-6.799999999999999822e+00 1.462103446733317843e-03
-6.400000000000000355e+00 3.337206240350662489e-02
-6.000000000000000000e+00 2.563733354161311095e-01
-5.599999999999999645e+00 8.356461461610301678e-01
-5.199999999999999289e+00 1.477456170902206933e+00
-4.799999999999999822e+00 2.162580126536187031e+00
-4.400000000000000355e+00 3.034361588930673648e+00
-4.000000000000000000e+00 4.145230748128115650e+00
-3.599999999999999645e+00 5.464301982555032744e+00
-3.199999999999999289e+00 6.829284066560564526e+00
-2.799999999999999822e+00 8.092260004541252272e+00
-2.399999999999999467e+00 9.235521870376208753e+00
-2.000000000000000000e+00 1.021781020670047191e+01
-1.599999999999999645e+00 1.090006564253058841e+01
-1.199999999999999289e+00 1.130487937180414804e+01
-7.999999999999998224e-01 1.153553323880924708e+01
-3.999999999999994671e-01 1.163113221789654972e+01
0.000000000000000000e+00 1.165360385604678051e+01
4.000000000000003553e-01 1.163106315998121687e+01
8.000000000000007105e-01 1.153560822254838136e+01
1.200000000000001066e+00 1.130494200709253327e+01
1.600000000000001421e+00 1.089999737688443915e+01
2.000000000000000000e+00 1.021765831650990464e+01
2.400000000000000355e+00 9.235310536929107528e+00
2.800000000000000711e+00 8.092503429944287063e+00
3.200000000000001066e+00 6.829909084452850720e+00
3.600000000000001421e+00 5.464437959625293217e+00
4.000000000000000000e+00 4.145269503219369156e+00
4.400000000000000355e+00 3.034158888475062987e+00
4.800000000000000711e+00 2.162494201658841320e+00
5.200000000000001066e+00 1.477251817175625703e+00
5.600000000000001421e+00 8.258518470035149939e-01
6.000000000000000000e+00 2.561630898405662937e-01
6.400000000000000355e+00 3.229328862638491948e-02
6.800000000000000711e+00 1.445480256709154006e-03
7.200000000000001066e+00 2.121351969459338123e-05
7.600000000000001421e+00 5.734237455883473662e-08
8.000000000000000000e+00 2.087913612671758361e-11
