# #PT v1 v2 v3 v4 v5 v6
7.775651001416666874e-03 1.957308642287468257e-06 4.090871149812284621e-06 1.312208901041989844e-08 1.718446846178961683e-07 1.464234642793385249e-07 2.332211015328910490e-07
4.105764502516666414e-02 8.767132946180601998e-06 1.086219056036036925e-04 7.080607883301018175e-08 3.943832971766651296e-08 7.506449136817154339e-09 3.362227379772844905e-08
1.012996176725833308e-01 2.046910687922038897e-05 6.402128586984498319e-04 2.702753979302652508e-07 3.085953337350480532e-07 6.012887834963769363e-08 1.924569951087263493e-08
1.891624605169999751e-01 3.362461046008461790e-05 2.048818036434708542e-03 1.926691113274495813e-06 4.225494943487613579e-06 1.069599748925726657e-07 8.728235440088384658e-08
3.056352268125833160e-01 4.344124383483174024e-05 4.581088545412273158e-03 6.244165295896876886e-06 2.171983698071606458e-05 3.414264994427666868e-07 1.369468058976386091e-07
4.521113856178332613e-01 4.850797817326211087e-05 8.081831312198115708e-03 1.397433601948490146e-05 7.033863775492912461e-05 1.624164211857107910e-06 5.855649753408280103e-07
6.304930188844166672e-01 5.167618443851519221e-05 1.216365456568604952e-02 2.485448521309457996e-05 1.664268361020804557e-04 4.555717580572350422e-06 1.978497997811858238e-06
8.433523806682499124e-01 5.519805857811764651e-05 1.643738219682345722e-02 3.811850334296759690e-05 3.213898747960093356e-04 1.014673893611422788e-05 4.516044477950750357e-06
1.094190206847999836e+00 6.142828013915702491e-05 2.061650454877921035e-02 5.276724793103746059e-05 5.423969185248613163e-04 1.900656925144202225e-05 8.191259904234805220e-06
1.387867309027499996e+00 7.029808333226282633e-05 2.453560878734902667e-02 6.836945673634702144e-05 8.366753286410003130e-04 3.046486929689065420e-05 1.012346914753070228e-05
1.731373241620749903e+00 8.121286161238622302e-05 2.812544784319984809e-02 8.419440835165656670e-05 1.215380734629493151e-03 4.480557429820638448e-05 7.650635700681537507e-06
2.135324518894083035e+00 9.292181695451053785e-05 3.137901795300464258e-02 9.923660495452806441e-05 1.695308456798439323e-03 6.090632567555252807e-05 3.080783993120021248e-06
2.617293264146166365e+00 1.045413123817294390e-04 3.432961483365025435e-02 1.126788600579877944e-04 2.301099614386020818e-03 7.776973665404869455e-05 2.493367256714923444e-05
3.210890275540499772e+00 1.143054117874174353e-04 3.704431638913342761e-02 1.237861792236812487e-04 3.074696905194994074e-03 9.402598384456439253e-05 6.321672470000065148e-05
4.002173797723832749e+00 1.200315482350827821e-04 3.966742729000694717e-02 1.302835736349449911e-04 4.127815005674907549e-03 1.083577328511747438e-04 1.260242536401158259e-04
