# #PT v1 v2 v3 v4 v5 v6
7.775651001416666874e-03 4.318755779804720947e-06 8.561523842765039719e-07 1.867408430990497022e-06 3.931002898639666006e-06 5.945286978488751190e-06 1.393036536934188845e-06
4.105764502516666414e-02 7.287156440323595216e-06 2.106739606588076233e-05 2.232090310464072819e-06 1.201218631334161067e-05 1.673917529281005013e-06 6.382412275664929157e-07
1.012996176725833308e-01 1.784758961139305179e-05 3.989469012946021687e-04 4.863741768912058624e-07 5.274888925227433904e-06 2.149355526668333501e-06 2.050812704741987144e-06
1.891624605169999751e-01 3.135583841871088251e-05 1.988384028842953791e-03 3.900906239168747251e-06 1.276733030506682143e-05 1.480794147871671569e-06 9.463577330300778691e-07
3.056352268125833160e-01 4.298769574043446892e-05 4.958597385568558336e-03 4.473508364595224328e-06 9.206204011951347901e-06 4.362303152164412309e-07 4.779746110605814196e-07
4.521113856178332613e-01 5.339109527948985505e-05 8.781110992522567563e-03 1.193095589158361414e-05 7.247706881241853605e-05 1.452612703923394761e-06 4.407764830024331096e-07
6.304930188844166672e-01 6.156424181111879910e-05 1.289884217063904694e-02 2.737406714943742766e-05 1.875019730708066496e-04 3.482578430733679838e-06 5.723234960874818887e-07
8.433523806682499124e-01 6.830684902239987644e-05 1.699311689713105950e-02 4.353349372444634117e-05 3.554532171583625133e-04 8.876406734466947576e-06 3.496303428586087542e-06
1.094190206847999836e+00 7.367601155975160023e-05 2.094476464716724107e-02 5.910728452888603594e-05 5.790163091441234006e-04 1.717689232991526002e-05 7.129661855777496536e-06
1.387867309027499996e+00 8.215200074382799538e-05 2.460451367754723506e-02 7.593202092769625274e-05 8.537762479065062965e-04 2.805671784308937368e-05 1.024243922110252513e-05
1.731373241620749903e+00 9.440952411543533423e-05 2.799728081363746929e-02 9.547442088207684489e-05 1.204024034153841584e-03 4.146303922184624264e-05 1.017414389298353326e-05
2.135324518894083035e+00 1.057065565495889878e-04 3.115609449241377171e-02 1.095787563168990286e-04 1.652320866122548989e-03 5.697743964255015529e-05 3.752377618876359110e-06
2.617293264146166365e+00 1.164724568163239910e-04 3.409300476172237582e-02 1.221598828305592473e-04 2.229294294110490456e-03 7.343881396400727692e-05 1.384329520482022864e-05
3.210890275540499772e+00 1.256967152512613326e-04 3.685263948133048195e-02 1.321588272712915678e-04 2.983072689580208714e-03 8.977699014538543013e-05 4.811709458028334341e-05
4.002173797723832749e+00 1.324100215963863421e-04 3.968067599350256353e-02 1.380779264694316489e-04 4.028755862507902089e-03 1.048359595041622214e-04 1.066445963748906647e-04
