# #PT v1 v2 v3 v4 v5 v6
7.775651001416666874e-03 2.244849458200718149e-06 3.817981660362704252e-06 2.045586358467855326e-07 1.261716211489103047e-06 1.891469543912896925e-06 1.002087885385259277e-06
4.105764502516666414e-02 9.620545739779607906e-06 1.173179846886175524e-04 4.485583973207358511e-07 6.112596151470901452e-07 2.061382770283198467e-07 1.345266643489751989e-06
1.012996176725833308e-01 1.952797309135524049e-05 6.962765081119214744e-04 1.589295371928290314e-06 2.178530520163505463e-06 5.161484126392860298e-07 3.483256117662737656e-07
1.891624605169999751e-01 3.500757800933926317e-05 2.225795061181588905e-03 3.910280501992594669e-06 4.675558232702115634e-06 3.814310151277469391e-07 6.936243852441500057e-07
3.056352268125833160e-01 4.746004409182478519e-05 4.960392107225753550e-03 8.833056174707934702e-06 2.693953746425491595e-05 6.036975537754651783e-07 1.039905917890969140e-06
4.521113856178332613e-01 5.503546892794880968e-05 8.627285504011652020e-03 1.728148994924130308e-05 8.116693733911408391e-05 2.020128963642152269e-06 1.723393987338319556e-06
6.304930188844166672e-01 6.042209056551983763e-05 1.270174397283446548e-02 3.030730457182416823e-05 1.866165684707679260e-04 5.108037112466966721e-06 2.724086886151481641e-06
8.433523806682499124e-01 6.554904897521473118e-05 1.679570032942003313e-02 4.488172601242643959e-05 3.456742851694885252e-04 1.006940555189859355e-05 4.795031190807284761e-06
1.094190206847999836e+00 7.006051446484361375e-05 2.083759910058627027e-02 5.777549471609721152e-05 5.649915844544276021e-04 1.812279249132128163e-05 8.466455236875685525e-06
1.387867309027499996e+00 7.895927929453135075e-05 2.464020669123496987e-02 7.486668613436222859e-05 8.535169484542643641e-04 2.895956989451451910e-05 1.039536098292081772e-05
1.731373241620749903e+00 9.105438623080660025e-05 2.816753570283457922e-02 9.217446279511148021e-05 1.227610522206926428e-03 4.236120963286492359e-05 8.527399195127671183e-06
2.135324518894083035e+00 1.020408046556861223e-04 3.140384073240255758e-02 1.057218199372675637e-04 1.705894219116941722e-03 5.789867339415471478e-05 9.753085041428660190e-07
2.617293264146166365e+00 1.129469547243574590e-04 3.435678075166985479e-02 1.188412262239583312e-04 2.312042970807305468e-03 7.415822982131943617e-05 2.139099034561468235e-05
3.210890275540499772e+00 1.223807926237372107e-04 3.708616417236008239e-02 1.289377617934419154e-04 3.091138407708467466e-03 9.007957508912858337e-05 5.899417356586544723e-05
4.002173797723832749e+00 1.293102556270152087e-04 3.982723841434029910e-02 1.350764133065494182e-04 4.153880186285335667e-03 1.045341679286039235e-04 1.202454834614232235e-04
