# #rapidity dN/dEta
-8.000000000000000000e+00 2.204384942563857031e-02
-7.599999999999999645e+00 4.668318522363103240e-02
-7.200000000000000178e+00 1.016371704652143659e-01
-6.799999999999999822e+00 2.041986459934103382e-01
-6.400000000000000355e+00 3.638096063918465628e-01
-6.000000000000000000e+00 5.674482457285587866e-01
-5.599999999999999645e+00 7.939902426712932559e-01
-5.199999999999999289e+00 1.069778072375271893e+00
-4.799999999999999822e+00 1.420647232410648719e+00
-4.400000000000000355e+00 1.853436372992871339e+00
-4.000000000000000000e+00 2.361685611437714272e+00
-3.599999999999999645e+00 2.905613626485292755e+00
-3.199999999999999289e+00 3.427451307049652840e+00
-2.799999999999999822e+00 3.886753368366952177e+00
-2.399999999999999467e+00 4.241436943150072914e+00
-2.000000000000000000e+00 4.422425886374108828e+00
-1.599999999999999645e+00 4.391746884034261278e+00
-1.199999999999999289e+00 4.182263999812232846e+00
-7.999999999999998224e-01 3.873019437438376844e+00
-3.999999999999994671e-01 3.592130442145736513e+00
0.000000000000000000e+00 3.479581044509314935e+00
4.000000000000003553e-01 3.592088474502213913e+00
8.000000000000007105e-01 3.873039807369524912e+00
1.200000000000001066e+00 4.182315325198401545e+00
1.600000000000001421e+00 4.391755645384418649e+00
2.000000000000000000e+00 4.422386538859734095e+00
2.400000000000000355e+00 4.241348811959218423e+00
2.800000000000000711e+00 3.886677682494771524e+00
3.200000000000001066e+00 3.427547562718084695e+00
3.600000000000001421e+00 2.905813449865907838e+00
4.000000000000000000e+00 2.361818613546428747e+00
4.400000000000000355e+00 1.853490628988638811e+00
4.800000000000000711e+00 1.420657402009024795e+00
5.200000000000001066e+00 1.069763450072166666e+00
5.600000000000001421e+00 7.941107150196469178e-01
6.000000000000000000e+00 5.674469831420775323e-01
6.400000000000000355e+00 3.636037816620626417e-01
6.800000000000000711e+00 2.042007903300325777e-01
7.200000000000001066e+00 1.016382025608475598e-01
7.600000000000001421e+00 4.667135879198501536e-02
8.000000000000000000e+00 2.204408513413669279e-02
