# #rapidity dN/dEta
-8.000000000000000000e+00 1.797324963637112916e+00
-7.599999999999999645e+00 3.958405218544319926e+00
-7.200000000000000178e+00 8.449065774263393891e+00
-6.799999999999999822e+00 1.725396856257773237e+01
-6.400000000000000355e+00 3.289897927436744851e+01
-6.000000000000000000e+00 5.669750171640900049e+01
-5.599999999999999645e+00 8.742344022135182513e+01
-5.199999999999999289e+00 1.236814622757616462e+02
-4.799999999999999822e+00 1.682866691126677949e+02
-4.400000000000000355e+00 2.239887451032402055e+02
-4.000000000000000000e+00 2.911306780681056807e+02
-3.599999999999999645e+00 3.664345993283131975e+02
-3.199999999999999289e+00 4.433396586794033283e+02
-2.799999999999999822e+00 5.150465385867062196e+02
-2.399999999999999467e+00 5.763954946416748726e+02
-2.000000000000000000e+00 6.218122457021581795e+02
-1.599999999999999645e+00 6.465912936739216548e+02
-1.199999999999999289e+00 6.507347670281731098e+02
-7.999999999999998224e-01 6.396675606051167051e+02
-3.999999999999994671e-01 6.236512508379828432e+02
0.000000000000000000e+00 6.161635078489096031e+02
4.000000000000003553e-01 6.236480260747269995e+02
8.000000000000007105e-01 6.396692245067401927e+02
1.200000000000001066e+00 6.507376795591567316e+02
1.600000000000001421e+00 6.465893418183119365e+02
2.000000000000000000e+00 6.218069592805225057e+02
2.400000000000000355e+00 5.763901457985093657e+02
2.800000000000000711e+00 5.150519687065892640e+02
3.200000000000001066e+00 4.433577851769707081e+02
3.600000000000001421e+00 3.664541924586371806e+02
4.000000000000000000e+00 2.911404880779850828e+02
4.400000000000000355e+00 2.239606050527767422e+02
4.800000000000000711e+00 1.682751467338165980e+02
5.200000000000001066e+00 1.236727303980530905e+02
5.600000000000001421e+00 8.728632901359097218e+01
6.000000000000000000e+00 5.661729340377039676e+01
6.400000000000000355e+00 3.287400600401961981e+01
6.800000000000000711e+00 1.720003387459144761e+01
7.200000000000001066e+00 8.435830977476459935e+00
7.600000000000001421e+00 3.951292442126343563e+00
8.000000000000000000e+00 1.793232490709672389e+00
