# #rapidity dN/dEta
-8.000000000000000000e+00 1.645083722558202954e-01
-7.599999999999999645e+00 3.650465086153816263e-01
-7.200000000000000178e+00 7.840245409725413728e-01
-6.799999999999999822e+00 1.571237493247548800e+00
-6.400000000000000355e+00 2.927147546689294000e+00
-6.000000000000000000e+00 4.847177918250052286e+00
-5.599999999999999645e+00 7.074899993272420140e+00
-5.199999999999999289e+00 9.671510024422047991e+00
-4.799999999999999822e+00 1.294543361452815056e+01
-4.400000000000000355e+00 1.701601605981510090e+01
-4.000000000000000000e+00 2.181627026723685248e+01
-3.599999999999999645e+00 2.705490939068414136e+01
-3.199999999999999289e+00 3.220813876689937416e+01
-2.799999999999999822e+00 3.680804396834622594e+01
-2.399999999999999467e+00 4.049249302826029151e+01
-2.000000000000000000e+00 4.277282454929873978e+01
-1.599999999999999645e+00 4.324519889271478235e+01
-1.199999999999999289e+00 4.205263630311299750e+01
-7.999999999999998224e-01 3.981978475920241323e+01
-3.999999999999994671e-01 3.761713108250288684e+01
0.000000000000000000e+00 3.670577082301660710e+01
4.000000000000003553e-01 3.761681759160929062e+01
8.000000000000007105e-01 3.981994325149705816e+01
1.200000000000001066e+00 4.205297084306564415e+01
1.600000000000001421e+00 4.324516715884121254e+01
2.000000000000000000e+00 4.277241558072763183e+01
2.400000000000000355e+00 4.049174583476374778e+01
2.800000000000000711e+00 3.680794097381735241e+01
3.200000000000001066e+00 3.220938073336748175e+01
3.600000000000001421e+00 2.705656511535063302e+01
4.000000000000000000e+00 2.181720916813514322e+01
4.400000000000000355e+00 1.701628897813085928e+01
4.800000000000000711e+00 1.294612487170332571e+01
5.200000000000001066e+00 9.671773961363944849e+00
5.600000000000001421e+00 7.072107615979022377e+00
6.000000000000000000e+00 4.839387672611323410e+00
6.400000000000000355e+00 2.925241196205500938e+00
6.800000000000000711e+00 1.567975894448664587e+00
7.200000000000001066e+00 7.831461224502055396e-01
7.600000000000001421e+00 3.642041136678404456e-01
8.000000000000000000e+00 1.638580651994355764e-01
