# #PT (1/2pi)dN/dYptdpt
7.775651001416666874e-03 1.403050558211043075e+01
4.105764502516666414e-02 1.402895153585717480e+01
1.012996176725833308e-01 1.400459148049795743e+01
1.891624605169999751e-01 1.380271594097427368e+01
3.056352268125833160e-01 1.293557805588933185e+01
4.521113856178332613e-01 1.083702387671936229e+01
6.304930188844166672e-01 7.709589459550890922e+00
8.433523806682499124e-01 4.564331426236060807e+00
1.094190206847999836e+00 2.247853975711135988e+00
1.387867309027499996e+00 9.224049368440299101e-01
1.731373241620749903e+00 3.132213864256143121e-01
2.135324518894083035e+00 8.609319987891604631e-02
2.617293264146166365e+00 1.826705087894915300e-02
3.210890275540499772e+00 2.704999608411846976e-03
4.002173797723832749e+00 2.135973863334124942e-04
