# #PT (1/2pi)dN/dYptdpt
7.775651001416666874e-03 5.613869216696276681e+02
4.105764502516666414e-02 5.479250673581066167e+02
1.012996176725833308e-01 4.846834751839470528e+02
1.891624605169999751e-01 3.557943089347945715e+02
3.056352268125833160e-01 2.186669546951806637e+02
4.521113856178332613e-01 1.184194569716712664e+02
6.304930188844166672e-01 5.748445820694821862e+01
8.433523806682499124e-01 2.495806745868240739e+01
1.094190206847999836e+00 9.587338182129734321e+00
1.387867309027499996e+00 3.237971195033156224e+00
1.731373241620749903e+00 9.396731528602105810e-01
2.135324518894083035e+00 2.267343751858999501e-01
2.617293264146166365e+00 4.300886215035831794e-02
3.210890275540499772e+00 5.761558255879427846e-03
4.002173797723832749e+00 4.169698866511529958e-04
