# #rapidity dN/dY
-8.000000000000000000e+00 6.248950404882501301e-03
-7.599999999999999645e+00 6.857728019099812444e-02
-7.200000000000000178e+00 4.014117057402242783e-01
-6.799999999999999822e+00 1.531745108157531288e+00
-6.400000000000000355e+00 4.262520513423336155e+00
-6.000000000000000000e+00 9.071169799841998227e+00
-5.599999999999999645e+00 1.519900951395277033e+01
-5.199999999999999289e+00 2.160238877806974855e+01
-4.799999999999999822e+00 2.907853997824043546e+01
-4.400000000000000355e+00 3.909609717434257448e+01
-4.000000000000000000e+00 5.208842771007466155e+01
-3.599999999999999645e+00 6.745893621829362985e+01
-3.199999999999999289e+00 8.378983426079938113e+01
-2.799999999999999822e+00 9.960362969294119750e+01
-2.399999999999999467e+00 1.140112948847436201e+02
-2.000000000000000000e+00 1.261861514509063085e+02
-1.599999999999999645e+00 1.352211261146140657e+02
-1.199999999999999289e+00 1.411722570543907125e+02
-7.999999999999998224e-01 1.447018277578973482e+02
-3.999999999999994671e-01 1.464325606105805377e+02
0.000000000000000000e+00 1.469346033807116783e+02
4.000000000000003553e-01 1.464314140971140148e+02
8.000000000000007105e-01 1.447022492083238774e+02
1.200000000000001066e+00 1.411729311255443235e+02
1.600000000000001421e+00 1.352206085534087094e+02
2.000000000000000000e+00 1.261850454956223615e+02
2.400000000000000355e+00 1.140104952242316472e+02
2.800000000000000711e+00 9.960561778306073677e+01
3.200000000000001066e+00 8.379466373372048338e+01
3.600000000000001421e+00 6.746280691271559249e+01
4.000000000000000000e+00 5.209024263596485582e+01
4.400000000000000355e+00 3.909642281717167833e+01
4.800000000000000711e+00 2.907827623194617317e+01
5.200000000000001066e+00 2.160218567726522565e+01
5.600000000000001421e+00 1.519900778841739708e+01
6.000000000000000000e+00 9.071254802131900163e+00
6.400000000000000355e+00 4.262580634308464234e+00
6.800000000000000711e+00 1.531774311842244884e+00
7.200000000000001066e+00 4.014200697188022304e-01
7.600000000000001421e+00 6.857848292841296767e-02
8.000000000000000000e+00 6.249054111130777737e-03
